rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5wmH2yEMgerF4bGh87TQZA","Benjamin Hav, Lukas Graham","Du ligner din mor","Sony Music Entertainment",1,2,3,"577531"
2,"spotify:track:00Ma3dn1eTeuz8LYEpUXQo","JOSVA, Artigeardit","Lonely (feat. Artigeardit)","Sony Music Entertainment",1,1,2,"550223"
3,"spotify:track:7px3lmdf4nzNEMt6zaQ5yJ","Marstein, Annika","SAMMEN","Universal Music AS",1,3,12,"510408"
4,"spotify:track:4GZt2BpQpWhkEAgmfUrQOu","Annika","Luk Mig Ind","Universal Music A/S",3,4,7,"480001"
5,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",4,6,22,"434683"
6,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",6,8,7,"390805"
7,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",7,9,13,"381673"
8,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",7,7,13,"380068"
9,"spotify:track:3r0C7cXKzwGQaKLFHr810N","Anton Westerlin, Benny Jamz","2 Stepper Freestyle","Universal Music A/S",5,5,3,"364654"
10,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",8,10,35,"336685"
11,"spotify:track:7CW3Tjll8pUMZxsuo8GZgV","Suspekt, URO","Tænker Ik På Andre (feat. URO)","Universal Music A/S",1,12,20,"332963"
12,"spotify:track:0fFMt9cc1EEQDIWLGDcqKd","Annika","Så længe jeg er sexy.","Universal Music A/S",2,13,24,"314567"
13,"spotify:track:1ZatLEMZsAslxDA5zw3S6V","Lamin, Ukendt Kunstner","Tro På Det","Universal Music A/S",1,14,17,"312518"
14,"spotify:track:3ZNTae1ZOrSaURxMZAVFq6","Ankerstjerne, Daniel Schulz, Panamah","Børn Af Natten (Hola Bonita)","10 Lions Ent",2,18,41,"301419"
15,"spotify:track:3xJeUxbt51wpvGk3YzqxLi","Benny Jamz, Gilli","Reposado","Universal Music A/S",2,15,30,"287393"
16,"spotify:track:6TT6zYIiI0nSzXMuI801zP","Gilli","Robocop","Universal Music A/S",11,11,3,"282439"
17,"spotify:track:6KliOBbtUUSwHHFjDzYVPe","Annika","Knuser Hjerter","Universal Music A/S",6,16,47,"259194"
