rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2EVJSQTl0bqHISNlJbhNIc","Anton Westerlin, Annika","Blodigt (feat. Annika)","Universal Music A/S",1,1,5,"599352"
2,"spotify:track:2p4cYfKQbg8xHXNG4eQaGo","Omar, Mumle","Hele Vejen (feat. Mumle)","WM Denmark",2,5,3,"537847"
3,"spotify:track:2v5RxyOtY5uSH2EAtz94SL","Benjamin Hav, Lukas Graham","Du ligner din mor","Sony Music Entertainment",1,3,9,"426641"
4,"spotify:track:4GZt2BpQpWhkEAgmfUrQOu","Annika","Luk Mig Ind","Universal Music A/S",3,4,13,"418328"
5,"spotify:track:7CjMx8VVh10vkmwZ0NSAK4","Tempo, MGP","Lyst Til At Hop'","Universal Music A/S",5,137,2,"375451"
6,"spotify:track:1kOMrUv9xczMmR6hCmPMzR","Berg","Koldblodet Killer","Sony Music Entertainment",6,12,3,"357425"
7,"spotify:track:20tZk1ZuX1kZCvHmU3lMtj","Otto, MGP","Sød Ligesom","Universal Music A/S",7,113,3,"328793"
8,"spotify:track:5zaXybxrzGiDd6IPWIHheW","Zuloo, Lamin","SIKKE EN TYPE","ZULOOVERSE",2,8,4,"323835"
9,"spotify:track:0i4Tf0W7BdBXBdRO5AfuWI","Mille","drikker med mig selv","WM Denmark",9,-1,1,"320439"
10,"spotify:track:00Ma3dn1eTeuz8LYEpUXQo","JOSVA, Artigeardit","Lonely (feat. Artigeardit)","Sony Music Entertainment",1,11,8,"318204"
11,"spotify:track:366GW0RsHtjyGeJSg0u9Ux","Gobs","når verden vælter","WM Denmark",2,2,2,"314587"
12,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",4,10,28,"313039"
13,"spotify:track:7px3lmdf4nzNEMt6zaQ5yJ","Marstein, Annika","SAMMEN","Universal Music AS",1,9,18,"311801"
14,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",7,7,79,"301346"
15,"spotify:track:6qqrTXSdwiJaq8SO0X2lSe","Alex Warren","Ordinary","Atlantic Records",15,17,3,"292292"
16,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",6,6,28,"279600"
17,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",6,18,13,"273886"
18,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",7,13,19,"272053"
