rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2gThkoApt6B7ajBWZRLAVv","KAJ","Bara Bada Bastu","WM Sweden",1,1,3,"1534307"
2,"spotify:track:0sEyktdaOL7Oe3Hstucmgc","Jore & Zpoppa, ibe, Elastinen","MVP (feat. ibe & Elastinen)","WM Finland",2,2,2,"714316"
3,"spotify:track:25FQ6nVIcLOMfl5Rnmud57","ibe","MASIINA","ibe",3,-1,1,"653635"
4,"spotify:track:728CCaVme0Ppv8zrG9caYE","Ares","Menestys on paras tapa kostaa","WM Finland",1,4,10,"564250"
5,"spotify:track:6wspZiK5qqoX0HL6zYX4CQ","Averagekidluke","Mitä meist jää","WM Finland",3,3,2,"552039"
6,"spotify:track:19LWPpXTX49k1KANJ46ydb","Turisti","Diana","WM Finland",1,5,4,"511058"
7,"spotify:track:5FWF6wWO488FWlljL3Fgo3","JVG","Rehellisesti","PME Records",1,6,6,"482900"
8,"spotify:track:6NayXQIy7SzSyEO9drruZD","Benjamin","Tommi (seksipommi)","WM Finland",8,-1,1,"459204"
9,"spotify:track:3rDcrOoZrJkcfw6hAiS81v","Ege Zulu","Nostetaan malja","PME Records",5,7,3,"410294"
10,"spotify:track:52NFoPnzxOKPIcJIQ9mb5Q","Erika Vikman","ICH KOMME","WM Finland",1,9,8,"402903"
11,"spotify:track:3P1pM5vlWSugzuBlVKRZjG","Ares, Bizi","T-paita (feat. Bizi)","WM Finland",2,8,7,"386397"
12,"spotify:track:2LHNTC9QZxsL3nWpt8iaSR","Lady Gaga","Abracadabra","Interscope Records",8,17,6,"365812"
13,"spotify:track:7fdNCtxfZArtOZK3hLqqm3","Turisti","Taikuri","WM Finland",1,13,25,"362796"
14,"spotify:track:4d7xDAIBA521hbsGZieQvQ","Isac Elliot","Ehkä Se Siitä","WM Finland",3,11,6,"359474"
15,"spotify:track:56gErvTUBhx82XqEauET28","Nelli Matula","Hitaammin hautaan","Universal Music Oy",2,12,9,"334925"
16,"spotify:track:1Ksud6DSBg0brnHcjVbm3k","Jaakko Kulta","Tupakkaa ja rakkautta","WM Finland",10,10,2,"326217"
17,"spotify:track:6zLzNEyVqtyZoohE75maSy","Averagekidluke","Diva","WM Finland",1,18,17,"326083"
18,"spotify:track:0DbUrs6t9JLcFx3EsMcPY3","Bizi","Ikävä mua","PME Records",9,16,4,"297938"
19,"spotify:track:36lT6tdND08VVvv3HwbhZD","Mirella","Timanttei","Universal Music Oy",1,21,62,"297484"
20,"spotify:track:0HB5nPu3zdtVTvtsrgLc27","Mouhous","Huppu pääs","WM Finland",5,14,4,"291903"
21,"spotify:track:69FiV69Cx7wHS9O88BTIh5","Jore & Zpoppa","Hän","WM Finland",13,20,5,"274736"
22,"spotify:track:5CbkZJipjT198pDW8v3k2u","Ares, Averagekidluke, Turisti","Iha miten vaa","WM Finland",2,23,20,"266937"
23,"spotify:track:6OyeI54Bby8Jd4ltzzB7b2","Young Mike, Sexmane","Nirvanaan","G Town Records",15,15,2,"266481"
24,"spotify:track:74mrMx3a96hGBzVfxNx6g2","Pyhimys","Valo pimeän","Universal Music Oy",3,25,33,"252708"
25,"spotify:track:3e2mYXFNuwiXChs7frlpQc","Annika Eklund, BESS, Eini, Keira, Laura Voutilainen, Linda Lampenius","Shanghain valot - UMK edit","WM Finland",10,19,5,"247387"
26,"spotify:track:2gYKkaZDgonVODfPQBQtW3","Aliisa Syrjä, Robin Packalen","Leijonanruokaa","WM Finland",10,22,3,"222702"
27,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",11,31,30,"219324"
28,"spotify:track:4d4jaU4L2WiA4m181RaaWG","william, Isac Elliot","Anteeks","WM Finland",2,24,15,"216912"
29,"spotify:track:5VtxTNVzC0PohY2IwRzTk3","Jore & Zpoppa, ABREU","Mä ja sä (feat. ABREU)","WM Finland",29,-1,1,"212405"
30,"spotify:track:71hoYrgo1nxzWp9hfhu0Fi","Averagekidluke, Turisti","Vitun hyvin","WM Finland",1,34,30,"211382"
31,"spotify:track:3gEmQZnsmDrttYiBM2WYdD","Mirella, Lauri Haav","Luotathan","Universal Music Oy",1,33,41,"210537"
32,"spotify:track:0uBQFamFpphOS27wIXPeiT","VIIVI","Aina","WM Finland",3,26,9,"210224"
33,"spotify:track:4n6PzDyWGkjAVRl74aR8Pb","Sliki, Turisti","Ne oli vääräs (feat. Turisti)","Sony Music Entertainment Finland",5,28,18,"209140"
34,"spotify:track:0HgDdM7SZvUsTsOFOPexzS","Jore & Zpoppa, Sliki","Tähdenlento (feat. Sliki)","WM Finland",34,-1,1,"204916"
35,"spotify:track:73kBsYMLlAQFcGym49f74g","Turisti, Sexmane","Lightskinboy (feat. Sexmane)","WM Finland",6,37,42,"198751"
36,"spotify:track:4mUR5Tv0CvJtpmnUtzeIgd","Lady Gaga","Garden Of Eden","Interscope Records",36,-1,1,"188787"
37,"spotify:track:3wRxUXh6dJLurn1RgLIeUD","william, AHTI","Lampaita","WM Finland",11,27,3,"184632"
38,"spotify:track:4xlcLdfBSMO56LEbhfbVtx","Goldielocks","Made Of","Sony Music Entertainment Finland",8,29,9,"182161"
39,"spotify:track:4OUdNzrfhl2AVu0qTNUIkz","AHTI, Isac Elliot","Sun luokse","WM Finland",2,35,24,"181803"
40,"spotify:track:17MJxFMzJkmy1f9m1ubTS3","costee","Sekaisin","WM Finland",5,32,9,"180341"
41,"spotify:track:3g1BfmXifo0XZ7bKeRMSg7","Jore & Zpoppa, Turisti","Dead Presidents","WM Finland",5,45,22,"178650"
42,"spotify:track:2RvIQZw7Oz1XHEhuSmreWv","pehmoaino","mietin sua pahalla","Sony Music Entertainment Finland",12,167,86,"175994"
43,"spotify:track:5FDmZWWDKd875GWf7v6sOd","Averagekidluke","Trap Queen","WM Finland",9,44,28,"169161"
44,"spotify:track:4Fzm0uCnAM4Ep59ZVvi5wB","BESS","Anna tulla","Universal Music Oy",30,30,2,"164552"
45,"spotify:track:5A5sHRQoeJHzMULQGPLoOV","ibe","Marraskuu","Skorpioni",1,38,19,"156696"
46,"spotify:track:4il87YHqSV9UqbBkXM7z7m","Tate McRae","Sports car","RCA Records Label",39,46,7,"156180"
47,"spotify:track:76NMPdhz29sqm6pOnRkhd6","Käärijä, Hooja","San Francisco Boy","WM Finland",7,43,6,"155743"
48,"spotify:track:47p94jgL5CekzREJnOp3M0","Mirella","Löytää mut","Universal Music Oy",1,48,28,"153952"
49,"spotify:track:2r9a4yyqoM0izDoldy4S8i","Alan Walker, Robin Packalen","Dust","World Of Walker Music",49,-1,1,"153935"
50,"spotify:track:3YxP03ZZuWO31SoE0uigI3","Ares","Ɐ","WM Finland",3,42,7,"153693"
51,"spotify:track:2qo5CfTfodd6h69qSirj9W","Bizi","Päivä joka meidät pilaa","PME Records",14,40,8,"153644"
52,"spotify:track:6jRJ1RAvdNxC1TG03VRFVg","Averagekidluke","On / Off","WM Finland",3,49,28,"153146"
53,"spotify:track:4ACfTWp8gMiZopmMFOKnhV","Jannika B, Toni Wirtanen","Kauniita lauseita","Universal Music Oy",53,-1,1,"152492"
54,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",15,41,21,"151230"
55,"spotify:track:5IoPnNiYAOvHHJpz13wzRL","Lady Gaga","Vanish Into You","Interscope Records",55,-1,1,"145394"
56,"spotify:track:0PWIrADNjGpiXA3EGjIbTW","pehmoaino","maasta taivaaseen","Sony Music Entertainment Finland",12,107,66,"140216"
57,"spotify:track:0msAT2TjdYnHHCkS2WajM4","Isac Elliot, Miriam Bryant","Otan Kii","WM Finland",3,47,29,"138691"
58,"spotify:track:4w6J68uG5G6cvqfQYOkf6H","Jore & Zpoppa","Meitsi","WM Finland",58,-1,1,"128302"
59,"spotify:track:0T3Hw3kPj9T2E4UoaSXmfn","Lady Gaga","Disease","Interscope Records",41,-1,8,"126820"
60,"spotify:track:7KBuvhHRB4ubExBlVgA3K4","Jore & Zpoppa, TUULI","Heikkouteni (feat. TUULI)","WM Finland",1,84,54,"125260"
61,"spotify:track:4SzyvEZEyXIYiIe4rpsxcO","Etta","Sata shottii","WM Finland",2,51,21,"124997"
62,"spotify:track:1musbempyJAw5gfSKZHXP9","Doechii","Anxiety","Top Dawg Entertainment/Capitol Records",62,-1,1,"117309"
63,"spotify:track:5eI0ESdNu0U2eiHdCQ9imT","Portion Boys","Sä et ole yksin","Sony Music Entertainment Finland",34,53,4,"115591"
64,"spotify:track:17KVNRBrEV9Y1l0l6jbr3t","RODEO, Anna Puu, Erin, Ida Paul","Jäävuorii","WM Finland",64,-1,1,"115398"
65,"spotify:track:152NQK2tsgAXQH9ANDRGg5","Jore & Zpoppa","Selvii päivii","WM Finland",36,77,35,"114287"
66,"spotify:track:4TwEdnSiTPDR1vg1QZ5K8W","David Guetta, Sia","Beautiful People","Atlantic Records UK",66,-1,1,"113185"
67,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",17,50,27,"113128"
68,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",9,52,30,"112089"
69,"spotify:track:20QxAPGjtOOTYgn7Kg3pkv","Jore & Zpoppa, Jami Faltin","Huolenaiheita (feat. Jami Faltin)","WM Finland",69,-1,1,"111673"
70,"spotify:track:6JJOkXsbhZAWfJUIFApXIp","Bee","Ei me kuolla kuitenkaan","Sony Music Entertainment Finland",36,36,2,"111289"
71,"spotify:track:14wiEbecEf1jSWiflaxHvA","Turisti, ibe","Kiireinen nainen (feat. ibe)","WM Finland",1,65,76,"110695"
72,"spotify:track:0HHQoono8fCyLgZOgAwosN","AHTI, HUGO","Väärään aikaan (feat. HUGO)","WM Finland",1,73,66,"110604"
73,"spotify:track:0SUcbn6qR8N07qb7QOIkN2","Ege Zulu, Behm","Tunnista tuntiin","PME Records",1,62,58,"110369"
74,"spotify:track:7ixwvAH5KCIvMM9RU2ZQtU","Averagekidluke, Turisti","Rich Man (feat. Turisti)","WM Finland",4,72,58,"109485"
75,"spotify:track:0Ekrxw3lGOi3upnMTH90VY","SHRTY","Sirkus","Universal Music Oy",2,59,37,"108964"
76,"spotify:track:5dSmtvguWDB0oXMFUbUyYK","Isac Elliot, Averagekidluke, MD$","Italia","Universal Music Oy",2,64,42,"108845"
77,"spotify:track:5enVWJXH9X2Biou4niupoJ","pehmoaino","valssi","Sony Music Entertainment Finland",29,126,55,"108426"
78,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",17,56,21,"107757"
79,"spotify:track:6OKQ4Zca1qPutoAP70WDJY","kia","bändipaita","WM Finland",8,54,7,"107022"
80,"spotify:track:3kK8hgEtjb9tcBjIRv2674","Karim B, TUULI","Miljoonii (feat. TUULI)","Sony Music Entertainment Finland",7,61,14,"106556"
81,"spotify:track:5yt7aRlPMFdsLulfqBYDsc","Ghost","Satanized","Loma Vista Recordings",81,-1,1,"106279"
82,"spotify:track:3cTTpe7rLFrgdLPY9DQB0s","Jaakko Kulta","Norjalaista puuta","WM Finland",5,83,44,"104759"
83,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",25,60,43,"104070"
84,"spotify:track:0XWzwurinuiDIyvlq0lx93","Korelon, Turisti","Vaarallinen Nainen","Korelon",2,63,35,"103785"
85,"spotify:track:7gHubaWZNQNvLieogqkVmA","OLGA, Isac Elliot","Stadi (Alicia)","PME Records",3,89,39,"103193"
86,"spotify:track:2Ug8JxGX2SIRfsYogycZJc","Mirella","Seireeni","Universal Music Oy",4,80,19,"102952"
87,"spotify:track:1hls6dgYL9TXFhZWPp6dlf","emma & matilda","Levoton tuhkimo","WM Finland",16,78,12,"102934"
88,"spotify:track:71yUCTR3ktWYcLpuUAiv1o","Jore & Zpoppa","Monsteri","WM Finland",88,-1,1,"102786"
89,"spotify:track:62fvSFu3kdDzTd0z5LQcnX","JVG","Tili tuli, tili meni","PME Records",4,66,9,"101370"
90,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",36,67,12,"101205"
91,"spotify:track:0Tqn5Th0wk55eLdga96vZM","Lady Gaga","Perfect Celebrity","Interscope Records",91,-1,1,"101145"
92,"spotify:track:5tfW3t4zAZoeftsKQI0jD0","Mirella","Täs mä oon","Universal Music Oy",2,70,19,"101038"
93,"spotify:track:1xYhFfJInHS8hsGfrJW4lI","Måns Zelmerlöw","Revolution","WM Sweden",93,113,3,"100685"
94,"spotify:track:0ElVpg9XIswx3XWs6kUj6a","Lady Gaga","Zombieboy","Interscope Records",94,-1,1,"100131"
95,"spotify:track:1fSck3p58YKlJVRPwOD7GR","Portion Boys","Näihin hommiin ei synnytä","Sony Music Entertainment Finland",22,71,11,"100005"
96,"spotify:track:1Pr2Fzp0UO1h7NrgCbCHGx","Korelon, Sliki","WHITEBOY","Korelon",18,85,39,"99190"
97,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",19,57,26,"98436"
98,"spotify:track:78KrPW1qvURVoGJEk9ej2G","Robin Packalen, Tupe.","Häitä pidelly","Universal Music Oy",2,91,41,"97775"
99,"spotify:track:2Nq2IkUtXoO1DJ0A4bNBcj","Käärijä","Cha Cha Cha","WM Finland",1,119,109,"97372"
100,"spotify:track:2rvd6akG8qEtBNUvQpN7iY","Lady Gaga","How Bad Do U Want Me","Interscope Records",100,-1,1,"96664"
101,"spotify:track:5w5EEBseWfDwZpexgqmTsI","Turisti","Lähetään menee","WM Finland",18,87,47,"96336"
102,"spotify:track:4qx145pj9gqLkRS3kLDXBB","Bizi, william","Draama - Remix","PME Records",6,96,59,"96336"
103,"spotify:track:0M6h2AOJ6YjnkdGfeJEmuo","Isaac Sene, Turisti","Ympyrää","SENE RECORDS",4,74,16,"96131"
104,"spotify:track:5iEKaNc3e4tksp5S5SxW4o","Mirella","Sua sattuu","Universal Music Oy",7,82,73,"96081"
105,"spotify:track:6qqrTXSdwiJaq8SO0X2lSe","Alex Warren","Ordinary","Atlantic Records",66,109,5,"93343"
106,"spotify:track:5gLl4Zq68qpJZPVbY3EBZg","AHTI, Averagekidluke","Kissa (feat. Averagekidluke)","WM Finland",4,88,53,"92754"
107,"spotify:track:31lZDgdGLl7bzGcVqtuWdr","Costi, Juuna Chill","Vaisto (feat. Juuna Chill)","PLAYMAKER",2,75,39,"91647"
108,"spotify:track:3oKey2erW2wHwlOWV8ZGg9","Mikael Gabriel","Valinnu mun tien","WM Finland",39,39,2,"91399"
109,"spotify:track:6rwj48RM8fFaGTpWfdJ3rF","Averagekidluke, KERZA, william","Rauhaa","WM Finland",12,108,36,"90887"
110,"spotify:track:643oAKTJRrWg6sd7Npc0Qk","Behm, Olavi Uusivirta","Viimeinen tanssi","WM Finland",2,92,94,"90619"
111,"spotify:track:1EDPVGbyPKJPeGqATwXZvN","Linkin Park","The Emptiness Machine","Warner Records",7,86,27,"90454"
112,"spotify:track:78jY6qGQtZAM7E5W7APoNg","Jenni Vartiainen","Ihmisten edessä","WEA",70,99,51,"88952"
113,"spotify:track:2fgUWTQ4tM6tYD4J7UvcDX","Samuli Putro","Kuvat meistä kaikista","Universal Music Oy",113,-1,1,"88905"
114,"spotify:track:0UvVr7by4E5QEndoWl1Joo","SCARLET","Sweet N’ Psycho","Universal Music AB",114,-1,1,"88408"
115,"spotify:track:0Gv4pKOPGajSF63YDPqKjD","Jore & Zpoppa, william","Bämä (feat. william)","Laundry Music Company",4,95,86,"88266"
116,"spotify:track:7M5FtK02ZXpfuWxQvLghZH","Danitello, Jami Faltin","Ei hyvää ilman pahaa (feat. Jami Faltin)","Sony Music Entertainment Finland",25,58,3,"88179"
117,"spotify:track:0NDi2CgFxwY78d1CcVxzBw","Sexmane","Kuka Siin Netis On","Sene Records",6,76,6,"87955"
118,"spotify:track:2EHzzI6laRI3V3lbh0cvXI","KAJ","Firmans Man","KAJ",118,195,2,"87658"
119,"spotify:track:6OC87jHRiovNPEUrgaqFSu","Lady Gaga","Shadow Of A Man","Interscope Records",119,-1,1,"87417"
120,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",14,97,48,"86603"
121,"spotify:track:7aLXAoR6RB5qQmBRvKE2kO","Klara Hammarström","On and On and On","Universal Music AB",121,156,3,"86593"
122,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",12,79,24,"86505"
123,"spotify:track:6ts28afrgkAWqSAbhkN01U","HUGO, Costi","Taulut (feat. Costi)","Sony Music Entertainment Finland",1,103,79,"85967"
124,"spotify:track:3hcivoswCVR8LZkHR8MYA5","Lady Gaga","LoveDrug","Interscope Records",124,-1,1,"85660"
125,"spotify:track:2PJOS3HOPn6wcT1gIiYN0y","Erika Vikman","Myynnissä","WM Finland",34,110,23,"84180"
126,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",54,81,3,"83314"
127,"spotify:track:7h1Ds1mu5n7hlyqP8SZo8e","Bizi, Ares","Ulkona (feat. Ares)","PME Records",28,90,4,"83185"
128,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",41,101,47,"83095"
129,"spotify:track:5sxAbVE0ZP9QnaHY64AIDn","Ares","Kokonainen","WM Finland",24,98,33,"82288"
130,"spotify:track:1BTuLvcRQdmPwhGyvUJxpY","Mirella","Uuteen eiliseen","Universal Music Oy",1,100,52,"82204"
131,"spotify:track:1JA6J5kzRNUYagv2WmjxqY","Costi","Musta hevonen","PLAYMAKER",15,55,4,"81765"
132,"spotify:track:480mO1deUri2RsSSbTfye6","Benjamin, BESS","Paremmin ku kukaan muu","WM Finland",12,169,55,"81198"
133,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",53,93,37,"81008"
134,"spotify:track:0cDiCLdv3DR0KObUE4L3Zm","Jokrates","Tyhjä","Näkymätön Lapsi",134,-1,1,"80711"
135,"spotify:track:30Ycic1p43sN4KlzK9MX4G","Dingo","Levoton Tuhkimo","WEA",21,105,49,"80465"
136,"spotify:track:4pNzBbGcqXofx8mLBPTeih","Lady Gaga, Gesaffelstein","Killah (feat. Gesaffelstein)","Interscope Records",136,-1,1,"79974"
137,"spotify:track:0IsIY8pfu1yaGkPUD7pkDx","Charli xcx, Billie Eilish","Guess featuring billie eilish","Atlantic Records",10,104,31,"79737"
138,"spotify:track:63Pi2NAx5yCgeLhCTOrEou","Imogen Heap","Headlock","Megaphonic",96,102,10,"79671"
139,"spotify:track:6bsk1KhWvXQpziEY8GXSTa","pehmoaino, Lauri Haav","päivänvaloo (feat. Lauri Haav)","Sony Music Entertainment Finland",4,-1,58,"79129"
140,"spotify:track:6aHVPCIzIovTCYyOEvJu7K","JVG, Märkä-Simo","Häissä (feat. Märkä-Simo)","WM Finland",51,118,136,"78865"
141,"spotify:track:6jkldxNLOsS2kVqMh8Uib4","ibe","SKYLINE","Skorpioni",11,135,44,"77857"
142,"spotify:track:0Rsf8OVSJlan9BgT7cecax","pehmoaino","Hulda","Sony Music Entertainment Finland",15,-1,46,"77795"
143,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",75,112,20,"77042"
144,"spotify:track:3Fq0id1BFWX3GoCeWdNh53","ibe","BLONDINA","Skorpioni",1,121,94,"76398"
145,"spotify:track:1tE3e0tfkZ4q8wC9fMcAoP","JVG","Rallikansa","PME Records",1,122,46,"76179"
146,"spotify:track:3FjK86616FbluOfTxNK2gY","Sleepy Hallow, Doechii","ANXIETY (feat. Doechii)","Winners Circle/RCA Records",111,111,2,"74995"
147,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",44,94,15,"74841"
148,"spotify:track:3p7O1Dazd4PEcZsDl8EN0R","koira, ibe, MELO","Jeesus","Skorpioni",6,128,12,"74513"
149,"spotify:track:6Sgm8FkveMWMOKExKX0Q46","Mirella","Painava sydän","Universal Music Oy",6,120,19,"74328"
150,"spotify:track:16Wa4Kq12iWEOgj1TC2FXn","Turisti","Yks Kaks","WM Finland",37,125,51,"74306"
151,"spotify:track:19wiSkhgBuExqH2frhPOnG","Edicti, F","En sitä tarkoittanut","Universal Music Oy",3,114,40,"74240"
152,"spotify:track:2suOcQBfljDdURx1xHyWpa","Turisti","Muotipoliisi","WM Finland",18,131,25,"74165"
153,"spotify:track:27CNIwCqvVSzxB4fEzNp6N","Sexmane","Dubai","Sony Music Entertainment Finland",38,132,6,"72890"
154,"spotify:track:7rJBYtwM14rQDVMUAyLsHK","KAJ","Jåo Nåo E Ja Jåo Yolo Ja Nåo","KAJ",154,-1,1,"72609"
155,"spotify:track:2IkG3Y5PXxDFExdw1qK3W6","emma & matilda","Viimeiset hitaat","WM Finland",155,162,3,"72537"
156,"spotify:track:2XaewhXngZd2Zi4ijFIkK0","Behm","Hei rakas","WM Finland",1,106,252,"72002"
157,"spotify:track:3uFYqmo1tBXqITBLsnHsUx","KUUMAA","Satama","Universal Music Oy",4,115,67,"71875"
158,"spotify:track:4EZ8TeeCUva0fhFmd5iEEL","Bizi, Vesta","En tunne mitään (feat. Vesta)","PME Records",28,141,8,"71706"
159,"spotify:track:0PGd0U5JYtEFug7P6voSuH","Bizi","Parempi unohtaa","PME Records",39,117,15,"70182"
160,"spotify:track:3kzhtJH4jrnKQmuE8ai8ob","Meira Omar","Hush Hush","Emperial AB",160,-1,1,"70144"
161,"spotify:track:0OEVuOZ2ewo4eS8t5wRPhK","Käärijä, Erika Vikman","Ruoska","WM Finland",1,124,56,"69099"
162,"spotify:track:0uoWOZeZZiC90RMNDQBqj4","Lady Gaga","Don't Call Tonight","Interscope Records",162,-1,1,"69021"
163,"spotify:track:4zpNfuWJA3K4d9TS4qnOIB","Tommy Cash","Espresso Macchiato","TOMMY CASH",123,178,3,"68985"
164,"spotify:track:4z7ilQuqYX7nB7jQpyl2Wp","Jore & Zpoppa","Rakkautta ja petoksii","WM Finland",164,-1,1,"68748"
165,"spotify:track:5Cwd5i7wxWH9szTN1i1GFK","Erika Vikman","Syntisten pöytä","WM Finland",3,149,117,"68397"
