rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
171,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",116,173,6,"59973"
172,"spotify:track:0y0FKZsyh3vtqVGpDKr8oJ","Isac Elliot, Costi","Kompastun","Universal Music Oy",5,197,92,"59731"
173,"spotify:track:1UOcNKPvb7Gy8Q5yPttgUy","VJ","Papi Caramelo","WM Finland",173,-1,1,"59528"
174,"spotify:track:2vLNQbj3xiNR342WoZXpln","NEEA RIVER","Nightmares","NEEA RIVER",12,123,8,"59232"
175,"spotify:track:7DY756WOLyOz2Xnhw4EFiC","The Weeknd, Anitta","São Paulo (feat. Anitta)","XO / Republic Records",47,148,7,"59036"
176,"spotify:track:0QkWikH5Z3U0f79T9iuF6c","Lady Gaga","Judas","Interscope",144,188,16,"59035"
177,"spotify:track:3gVhsZtseYtY1fMuyYq06F","Rammstein","Sonne","Vertigo Berlin",46,186,41,"58829"
178,"spotify:track:0NdnLmxqqQZ8hNntW42L9y","ELLIMEI, Överi","Miten ihmiset löytää toisiaan (feat. Överi)","WM Finland",15,195,23,"58764"
179,"spotify:track:5gFVdvBQ0wVIZPYqrMSM8m","Juuna Chill, AHTI","Maa ilman vettä","control",12,159,11,"58755"
180,"spotify:track:4CPuDVC8jhhK6lA2DIt8Cf","LISA, Doja Cat, RAYE","Born Again (feat. Doja Cat & RAYE)","Lloud Co./RCA Records",88,133,3,"58715"
181,"spotify:track:7aLXAoR6RB5qQmBRvKE2kO","Klara Hammarström","On and On and On","Universal Music AB",181,-1,1,"58227"
182,"spotify:track:2Uts1QFB4u2YNIMiqcb4de","Kendrick Lamar, AZ Chike","peekaboo (feat. azchike)","pgLang, under exclusive license to Interscope Records",135,135,4,"57948"
183,"spotify:track:6cbIICgbxjXqt90w3xMJrH","Jenni Vartiainen, Etta","Viimeinen pisara (feat. Etta)","WM Finland",6,182,33,"57947"
184,"spotify:track:0B7tnohfi83RQquo2JRHrL","Tate McRae","2 hands","RCA Records Label",99,-1,3,"57945"
185,"spotify:track:5CxPzsD4PNhJZpxC5TEWwh","Ares","C'est la vie","WM Finland",45,172,12,"57493"
186,"spotify:track:5WmvVkCh3wIhoSRB0eO5eU","emma","Anteeks minä","WM Finland",186,-1,1,"57480"
187,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",130,185,9,"57400"
