rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:28kVaTdLsVqG1VRTbt8tG8","Ares","Menestys on paras tapa kostaa","WM Finland",1,1,3,"1008140"
2,"spotify:track:52NFoPnzxOKPIcJIQ9mb5Q","Erika Vikman","ICH KOMME","WM Finland",2,-1,1,"826894"
3,"spotify:track:0uBQFamFpphOS27wIXPeiT","VIIVI","Aina","WM Finland",3,8,2,"564396"
4,"spotify:track:56gErvTUBhx82XqEauET28","Nelli Matula","Hitaammin hautaan","Universal Music Oy",2,2,2,"524633"
5,"spotify:track:17MJxFMzJkmy1f9m1ubTS3","costee","Sekaisin","WM Finland",5,11,2,"456333"
6,"spotify:track:6zLzNEyVqtyZoohE75maSy","Averagekidluke","Diva","WM Finland",1,3,10,"420802"
7,"spotify:track:7fdNCtxfZArtOZK3hLqqm3","Turisti","Taikuri","WM Finland",1,5,18,"412962"
8,"spotify:track:4xlcLdfBSMO56LEbhfbVtx","Goldielocks","Made Of","Sony Music Entertainment Finland",8,83,2,"395719"
9,"spotify:track:4d4jaU4L2WiA4m181RaaWG","william, Isac Elliot","Anteeks","WM Finland",2,6,8,"357656"
10,"spotify:track:62fvSFu3kdDzTd0z5LQcnX","JVG","Tili tuli, tili meni","PME Records",4,4,2,"325826"
11,"spotify:track:2q94C1i58OxdqyApjWByeC","Costi","Willy Wonka Freestyle","PLAYMAKER",11,-1,1,"306026"
12,"spotify:track:3Pf2yQgJ1B8vKgPFd1oOXC","Ares, Averagekidluke, Turisti","Iha miten vaa","WM Finland",2,15,13,"300892"
13,"spotify:track:5A5sHRQoeJHzMULQGPLoOV","ibe","Marraskuu","Skorpioni",1,7,12,"295839"
14,"spotify:track:6Qysn1iEj418NwIx8K19RC","One Morning Left","Puppy","Arising Empire",14,48,2,"295222"
15,"spotify:track:7pas0lEEhW9FpmWkDJ260C","Bizi","Päivä joka meidät pilaa","PME Records",15,-1,1,"286143"
16,"spotify:track:2vLNQbj3xiNR342WoZXpln","NEEA RIVER","Nightmares","NEEA RIVER",12,12,3,"285117"
17,"spotify:track:4n6PzDyWGkjAVRl74aR8Pb","Sliki, Turisti","Ne oli vääräs (feat. Turisti)","Sony Music Entertainment Finland",5,13,11,"283172"
