rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5FWF6wWO488FWlljL3Fgo3","JVG","Rehellisesti","PME Records",1,-1,1,"849195"
2,"spotify:track:728CCaVme0Ppv8zrG9caYE","Ares","Menestys on paras tapa kostaa","WM Finland",1,1,5,"830395"
3,"spotify:track:4d7xDAIBA521hbsGZieQvQ","Isac Elliot","Ehkä Se Siitä","WM Finland",3,-1,1,"680853"
4,"spotify:track:3P1pM5vlWSugzuBlVKRZjG","Ares, Bizi","T-paita (feat. Bizi)","WM Finland",2,2,2,"672970"
5,"spotify:track:7fdNCtxfZArtOZK3hLqqm3","Turisti","Taikuri","WM Finland",1,5,20,"446451"
6,"spotify:track:0NDi2CgFxwY78d1CcVxzBw","Sexmane","Kuka Siin Netis On","Sene Records",6,-1,1,"413665"
7,"spotify:track:76NMPdhz29sqm6pOnRkhd6","Käärijä, Hooja","San Francisco Boy","WM Finland",7,-1,1,"372846"
8,"spotify:track:0uBQFamFpphOS27wIXPeiT","VIIVI","Aina","WM Finland",3,6,4,"346122"
9,"spotify:track:3YxP03ZZuWO31SoE0uigI3","Ares","Ɐ","WM Finland",3,3,2,"344930"
10,"spotify:track:6zLzNEyVqtyZoohE75maSy","Averagekidluke","Diva","WM Finland",1,9,12,"344794"
11,"spotify:track:56gErvTUBhx82XqEauET28","Nelli Matula","Hitaammin hautaan","Universal Music Oy",2,7,4,"337042"
12,"spotify:track:6OKQ4Zca1qPutoAP70WDJY","kia","bändipaita","WM Finland",8,8,2,"312960"
13,"spotify:track:4d4jaU4L2WiA4m181RaaWG","william, Isac Elliot","Anteeks","WM Finland",2,12,10,"297282"
14,"spotify:track:52NFoPnzxOKPIcJIQ9mb5Q","Erika Vikman","ICH KOMME","WM Finland",2,4,3,"291764"
15,"spotify:track:5CbkZJipjT198pDW8v3k2u","Ares, Averagekidluke, Turisti","Iha miten vaa","WM Finland",2,10,15,"286360"
16,"spotify:track:17MJxFMzJkmy1f9m1ubTS3","costee","Sekaisin","WM Finland",5,11,4,"261087"
17,"spotify:track:4n6PzDyWGkjAVRl74aR8Pb","Sliki, Turisti","Ne oli vääräs (feat. Turisti)","Sony Music Entertainment Finland",5,13,13,"250443"
18,"spotify:track:36lT6tdND08VVvv3HwbhZD","Mirella","Timanttei","Universal Music Oy",1,21,57,"249171"
19,"spotify:track:3AWDeHLc88XogCaCnZQLVI","The Weeknd","Cry For Me","XO / Republic Records",19,-1,1,"245597"
20,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",11,20,25,"244847"
21,"spotify:track:7pas0lEEhW9FpmWkDJ260C","Bizi","Päivä joka meidät pilaa","PME Records",14,14,3,"242670"
22,"spotify:track:5A5sHRQoeJHzMULQGPLoOV","ibe","Marraskuu","Skorpioni",1,16,14,"229748"
23,"spotify:track:62fvSFu3kdDzTd0z5LQcnX","JVG","Tili tuli, tili meni","PME Records",4,15,4,"223606"
24,"spotify:track:0M6h2AOJ6YjnkdGfeJEmuo","Isaac Sene, Turisti","Ympyrää","SENE RECORDS",4,18,11,"222294"
25,"spotify:track:0msAT2TjdYnHHCkS2WajM4","Isac Elliot, Miriam Bryant","Otan Kii","WM Finland",3,23,24,"218612"
26,"spotify:track:3gEmQZnsmDrttYiBM2WYdD","Mirella, Lauri Haav","Luotathan","Universal Music Oy",1,25,36,"217565"
27,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",15,22,16,"217525"
28,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",12,36,19,"205126"
29,"spotify:track:3kK8hgEtjb9tcBjIRv2674","Karim B, TUULI","Miljoonii (feat. TUULI)","Sony Music Entertainment Finland",7,29,9,"203645"
30,"spotify:track:71hoYrgo1nxzWp9hfhu0Fi","Averagekidluke, Turisti","Vitun hyvin","WM Finland",1,35,25,"201004"
31,"spotify:track:6icyqOE3JyCbxn61NGbo8F","Pihlaja","Modernin naisen modernit ongelmat","Sony Music Entertainment Finland",31,-1,1,"195085"
32,"spotify:track:73kBsYMLlAQFcGym49f74g","Turisti, Sexmane","Lightskinboy (feat. Sexmane)","WM Finland",6,40,37,"188981"
33,"spotify:track:4OUdNzrfhl2AVu0qTNUIkz","AHTI, Isac Elliot","Sun luokse","WM Finland",2,43,19,"183925"
34,"spotify:track:2ZmVdWCM1jnwYFzaipAsQ2","Tupe.","Ankeet tanssiaiset","WM Finland",34,-1,1,"179285"
35,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",9,32,25,"178103"
36,"spotify:track:31lZDgdGLl7bzGcVqtuWdr","Costi, Juuna Chill","Vaisto (feat. Juuna Chill)","PLAYMAKER",2,34,34,"176462"
37,"spotify:track:4xlcLdfBSMO56LEbhfbVtx","Goldielocks","Made Of","Sony Music Entertainment Finland",8,27,4,"175884"
38,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",38,-1,1,"174378"
39,"spotify:track:5FDmZWWDKd875GWf7v6sOd","Averagekidluke","Trap Queen","WM Finland",9,30,23,"171618"
40,"spotify:track:2zOmS55knKWSgScYPTNmGQ","Tate McRae","Sports car","RCA Records Label",40,42,2,"162220"
41,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",36,44,7,"161033"
42,"spotify:track:1fSck3p58YKlJVRPwOD7GR","Portion Boys","Näihin hommiin ei synnytä","Sony Music Entertainment Finland",22,38,6,"160646"
43,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",17,37,16,"160171"
44,"spotify:track:1KGRYDGIkt2DOwjXdPicxF","Korelon, SHRTY","Se Nainen","Korelon",19,19,2,"157808"
45,"spotify:track:6jRJ1RAvdNxC1TG03VRFVg","Averagekidluke","On / Off","WM Finland",3,54,23,"157534"
46,"spotify:track:5tfW3t4zAZoeftsKQI0jD0","Mirella","Täs mä oon","Universal Music Oy",2,24,14,"157042"
47,"spotify:track:2q94C1i58OxdqyApjWByeC","Costi","Willy Wonka Freestyle","PLAYMAKER",11,33,3,"149034"
48,"spotify:track:4SzyvEZEyXIYiIe4rpsxcO","Etta","Sata shottii","WM Finland",2,56,16,"146620"
49,"spotify:track:5sxAbVE0ZP9QnaHY64AIDn","Ares","Kokonainen","WM Finland",24,28,28,"145356"
50,"spotify:track:7DY756WOLyOz2Xnhw4EFiC","The Weeknd, Anitta","São Paulo (feat. Anitta)","XO / Republic Records",47,183,4,"145044"
51,"spotify:track:6LyF2fjteau0vri1xfTK8Y","Saara Törmä","Kääretorttu","Sepon huone",26,26,2,"138346"
