,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
42,43,spotify:track:7wOgZ1otoKYDvKyQKP1sNZ,Werenoi,Laboratoire,PLR Music / PGP Records / Allpoints,9,41,96,792777,1,France
43,44,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,Ninho,Putana,Rec. 118 / Mal Luné Music,4,61,204,786321,1,France
44,45,spotify:track:3bg2qahpZmsg5wV2EMPXIk,"David Guetta, Alphaville, Ava Max",Forever Young,Parlophone UK,45,46,11,778163,1,France
45,46,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,5,56,61,776394,1,France
46,47,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,26,51,772443,1,France
47,48,spotify:track:3cJYHDT0jfBt8PLNOsKHZE,"Jul, FRANCÈ ZITO",Capata,D'Or et de Platine,15,38,5,763610,1,France
48,49,spotify:track:3PyRt7gpih7EPvV0fMWEom,VEN1,Hakayet,NOUVO MONDE,4,42,37,754766,1,France
49,50,spotify:track:0mYMXqqxLjGTjh5ivcfbNL,VEN1,Menace fantôme,NOUVO MONDE,23,43,6,745773,1,France
50,51,spotify:track:6Qr4ufjYXdEd0KNFd7sJxx,"Jaden Bojsen, David Guetta, Sami Brielle",Let's Go,Spinnin' Records,51,60,3,743094,1,France
51,52,spotify:track:6JCjcuo4VKAP4bHhbHj6fe,"Tiakola, Genezio, Prototype",PONA NINI,M3lo World / Atlantic Records,7,50,16,730439,1,France
52,53,spotify:track:62L3acprR92NoRib0zWigG,"SCH, Damso",02:00,Maison Baron Rouge / WMF,7,51,5,729081,1,France
53,54,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,7,29,39,725586,1,France
54,55,spotify:track:5kfAx6phDHPpz5g8IAPyc2,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,17,65,94,711623,1,France
55,56,spotify:track:4ZBslg1i1eHVOMhZZoX5fx,Bouss,Parler tout bas,Le Grand Carré / Level Up Music,27,57,35,710328,1,France
56,57,spotify:track:17jlkHSNHFu1zUuu8QZyOW,Dinos,Placebo,SPKTAQLR,43,62,125,696766,1,France
57,58,spotify:track:3rIX5DA9rUk89KUOZdGFaN,Werenoi,Tu connais,AllPoints,7,69,68,696493,1,France
58,59,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,23,68,18,688411,1,France
59,60,spotify:track:2NcvQ8N9ugSMforAJT0A4Y,"Jungeli, Imen Es, Alonzo, Abou Debeing, Lossa",Petit génie,Universal Music Distributed Labels,1,28,75,684899,1,France
60,61,spotify:track:75j42uvZCRoUxBcGsEP9Mk,Gazo,PROBATION,BSB PROD,7,63,9,675488,1,France
61,62,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,53,88,26,673035,1,France
62,63,spotify:track:0EzNyXyU7gHzj2TN8qYThj,SDM,Bolide allemand,92i / Capitol Music France,1,58,110,672533,1,France
63,64,spotify:track:5fbr2Gzzn2Akuv6ZMxxCdq,Bouss,Relation libre,Le Grand Carré / Level Up Music,64,93,18,668265,1,France
64,65,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,58,89,15,666375,1,France
65,66,spotify:track:3C0AfnuQGVmW9ww5mnBypl,Carbonne,Imagine,Play Two,1,44,36,652494,1,France
66,67,spotify:track:5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,Chezile / 10K Projects,67,94,8,652320,1,France
67,68,spotify:track:1HQQbaepsGB5uyTAGmSZxj,"Yorssy, Nouvelle École",CRF - Nouvelle École,Netflix Music,5,39,26,650202,1,France
68,69,spotify:track:71vWRlfHefIMtoDnUPtXcf,"VEN1, Ramos.",Vanilla,NOUVO MONDE,14,64,19,643129,1,France
69,70,spotify:track:30RmEyZdIYdYpSTkMtgtKt,"Jok'air, Mallaury",Bonbon à la menthe,Play Two,49,78,13,631159,1,France
70,71,spotify:track:6Wpgf0xNuBIUpJF2uH7swL,Booba,92i veyron,Universal Music Distribution Deal,71,97,19,631150,1,France
71,72,spotify:track:1YrbLMDd6s7FLa7SHgZ7Hc,Bouss,Mirage,Le Grand Carré / Level Up Music,72,90,20,631001,1,France
72,73,spotify:track:6xX6zmaXeKzB4u9TiM1XgU,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",WE PRAY,Parlophone UK,66,66,13,621796,1,France
73,74,spotify:track:0IIuNBj8145LeHojEYKwBq,"Zed, La Mano 1.9",Hockey,LDS Production,74,-1,1,615353,1,France
74,75,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,75,167,8,601997,1,France
75,76,spotify:track:2esZG2XFtuoWWA9AfDvSxy,"FloyyMenor, Cris Mj",Gata Only,FloyyMenor under exclusive license to UnitedMasters LLC,2,37,40,598978,1,France
76,77,spotify:track:6jDe94y1dbLDU53Q1NPxLH,"Dadju, Tayc",I love you,Play Two,2,74,57,595882,1,France
77,78,spotify:track:3Zw66L4FvI9YUUx17OReRD,Franglish,Position,Universal Music Division Capitol Music France,1,71,46,594384,1,France
78,79,spotify:track:1s3XtkdfT3obSCbQVWtvX9,PNL,La misère est si belle,QLF Records,14,95,125,589600,1,France
79,80,spotify:track:0xVMWYKYXKpiKqejjCIMDQ,"Werenoi, Damso",Pyramide,AllPoints,1,148,47,585422,1,France
80,81,spotify:track:6DlhTnan7aiDgAkIJXsFnQ,"Pierre Garnier, M. Pokora",Chaque seconde (feat. M. Pokora),Columbia,49,79,16,580992,1,France
