,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
176,177,spotify:track:4HsjtyUDFGAxRF3AaA6q07,"SAIKO, Feid, Quevedo, Mora",POLARIS - Remix,2024 SAIKONETA,1,-1,81,403854,7,Spain
177,178,spotify:track:5jt25aFjW2kNoBqaEVaz5W,"Mora, Feid",LA INOCENTE,Rimas Entertainment LLC,7,190,147,402295,7,Spain
178,179,spotify:track:48gfUjITHQLHuRnnNVNUzJ,Luis Cortés,AL ALBA,Sound Blaster Records,98,166,28,402178,7,Spain
179,180,spotify:track:6doVTElb0aU40nVrQ8Supq,"JC Reyes, Camin",34 Amor y Mafia,JC Reyes,22,176,75,401975,7,Spain
180,181,spotify:track:5sUbra1c8ZDnD9chdM4cUf,"GRECAS, JCC",ES COMO FAK,GRECAS,114,-1,11,401696,7,Spain
181,182,spotify:track:6jfp0rIQSdBoijRTR7TC9l,"iZaak, Clarent",TRAQUETO,WEA Latina,85,186,16,401591,7,Spain
182,183,spotify:track:2JRYGpV7u6iQCVtvupDyFe,Antoñito Molina,Me Prometo,PIES Compañía Discografica distributed by Altafonte,183,-1,1,400837,7,Spain
183,184,spotify:track:4Z8HZSApeddaRM2ovivUj4,Rauw Alejandro,La Old Skul,Sony Music Latin/Duars Entertainment,31,-1,49,400708,7,Spain
184,185,spotify:track:4UtREbGYnd1nZLckEb5y8J,M-Clan,Carolina - En directo 2000,DRO/EastWest Spain,185,-1,2,400401,7,Spain
185,186,spotify:track:0Qe2g06yzLBuuSvVmFiweP,"Nanpa Básico, Beéle",Hasta Aquí Llegué,5020 Records,79,184,23,399961,7,Spain
186,187,spotify:track:1EC0JRoSi9YL5zExd3Euc3,Los Ronaldos,No Puedo Vivir Sin Ti,Subterfuge Records distributed by Altafonte,115,-1,47,399705,7,Spain
187,188,spotify:track:3AviWzZuvrGnfyLowzwCAJ,"C Marí, John Pollõn",Contacto,CMARÍ24,122,143,8,399222,7,Spain
188,189,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,54,-1,16,397084,7,Spain
189,190,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),190,-1,1,396785,7,Spain
190,191,spotify:track:3eIvjtwoYC16ElxYE6ph7J,Ele A El Dominio,Hace Mucho Tiempo,"InnerCat Music Group, LLC",155,-1,8,395621,7,Spain
191,192,spotify:track:7ABLbnD53cQK00mhcaOUVG,Myke Towers,LALA,WEA Latina,1,173,88,395513,7,Spain
192,193,spotify:track:5osSgKDiyrzhLjsEABO6c9,Young Cister,miau,Sony Music Entertainment Chile S.A,127,137,6,395455,7,Spain
193,194,spotify:track:0VHx3o5nKWwXPy2hHjvzbA,De La Rose,Cobro,WEA Latina,194,196,2,393126,7,Spain
194,195,spotify:track:4RPeZbmVON5ZKT5HC9wALt,Beéle,morena,5020 Records,189,189,3,392933,7,Spain
