,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
40,41,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,1,39,42,148088,1,Belgium
41,42,spotify:track:2z9FUHRkbkV4BObNzbHsFU,Damiano David,Born With a Broken Heart,Sony Music Italy / Arista Records,42,54,9,146780,1,Belgium
42,43,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,7,49,41,146630,1,Belgium
43,44,spotify:track:5650jkmPhrqy7sdXQ9O9mL,"Pommelien Thijs, MEAU",Het Midden,Sony Music Entertainment,6,44,13,145902,1,Belgium
44,45,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,43,43,158,144366,1,Belgium
45,46,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,32,59,215,140588,1,Belgium
46,47,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,CYRIL,Stumblin' In,Spinnin' Records,5,27,45,138691,1,Belgium
47,48,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,6,138,274,138522,1,Belgium
48,49,spotify:track:32cwemsMJdzzsOYjVzfYMS,Helena,Mauvais Garçon,RCA Group,23,110,8,136847,1,Belgium
49,50,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,50,51,373,131112,1,Belgium
50,51,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,8,46,40,129747,1,Belgium
51,52,spotify:track:3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,Warner Records,37,70,47,124678,1,Belgium
52,53,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,29,77,94,124502,1,Belgium
53,54,spotify:track:3bg2qahpZmsg5wV2EMPXIk,"David Guetta, Alphaville, Ava Max",Forever Young,Parlophone UK,54,62,10,124216,1,Belgium
54,55,spotify:track:4mNttG8qiVh4BKrMUrUhCI,Dr. Yaro,Minimum ça,ELEVA,47,47,14,123087,1,Belgium
55,56,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,17,79,350,121086,1,Belgium
56,57,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,57,57,44,120943,1,Belgium
57,58,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,2,75,61,120571,1,Belgium
58,59,spotify:track:5e0b9LgOfi3aJSKXFcOWRe,Chezile,Beanie,Chezile / 10K Projects,59,93,6,119709,1,Belgium
59,60,spotify:track:6ifKXZTqAuLA35TGCVuGBU,"Hannah Mae, MAKSIM",Ik Wil Dat Je Liegt,"Universal Music, a division of Universal International Music BV",17,68,33,119137,1,Belgium
60,61,spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt,"Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike",Thank You (Not So Bad),Ministry of Sound Recordings,12,72,55,118732,1,Belgium
61,62,spotify:track:2KejCKgm7l3uefW9cFt8cH,"Kavinsky, Angèle, Phoenix",Nightcall,Universal Music Division Virgin Music Distribution Deal,28,61,16,117209,1,Belgium
62,63,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,14,38,261,116689,1,Belgium
63,64,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,64,76,58,114656,1,Belgium
64,65,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,48,66,177,113793,1,Belgium
65,66,spotify:track:7DSAEUvxU8FajXtRloy8M0,Miley Cyrus,Flowers,Columbia,1,55,104,111659,1,Belgium
66,67,spotify:track:6D8y7Bck8h11byRY88Pt2z,Dua Lipa,Houdini,Warner Records,6,71,60,110809,1,Belgium
67,68,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",25,-1,38,109878,1,Belgium
68,69,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,37,104,56,109774,1,Belgium
69,70,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,43,85,225,109763,1,Belgium
70,71,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,71,143,7,108403,1,Belgium
71,72,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s,Myles Smith,Nice To Meet You,RCA Records Label,72,126,7,107607,1,Belgium
72,73,spotify:track:2mEMKgLqH3VZaSYO7iYCzp,David Kushner,Daylight,Miserable Music Group,1,96,91,106423,1,Belgium
73,74,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,86,314,106103,1,Belgium
74,75,spotify:track:789CxjEOtO76BVD1A9yJQH,"Rihanna, Mikky Ekko",Stay,Def Jam Recordings,74,108,81,105715,1,Belgium
75,76,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),Elektra France,7,69,63,105412,1,Belgium
76,77,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,5,125,34,105188,1,Belgium
77,78,spotify:track:37Tmv4NnfQeb0ZgUC4fOJj,Dire Straits,Sultans Of Swing,EMI,78,100,226,105040,1,Belgium
78,79,spotify:track:5jX61gvbNenSDMldQrbtsU,SDM,POUR ELLE,Universal Music Division Capitol Music France,3,89,15,104572,1,Belgium
79,80,spotify:track:6xX6zmaXeKzB4u9TiM1XgU,"Coldplay, Little Simz, Burna Boy, Elyanna, TINI",WE PRAY,Parlophone UK,60,81,19,103975,1,Belgium
80,81,spotify:track:44A0o4jA8F2ZF03Zacwlwx,Patrick Watson,Je te laisserai des mots,Secret City Records,63,117,125,103165,1,Belgium
81,82,spotify:track:0FDzzruyVECATHXKHFs9eJ,Coldplay,A Sky Full of Stars,Parlophone UK,82,124,57,103071,1,Belgium
82,83,spotify:track:3mfER4ORePHvN35cbZ3dkV,"Lost Frequencies, Calum Scott",Where Are You Now,Epic Amsterdam,5,58,180,101995,1,Belgium
83,84,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,10,45,44,101801,1,Belgium
84,85,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,Warner Records,31,64,182,101711,1,Belgium
85,86,spotify:track:7dzuYJwwtNnfcptmbD58aJ,Joé Dwèt Filé,4 Kampé,Play Two,63,103,10,101692,1,Belgium
86,87,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,4,95,47,101038,1,Belgium
87,88,spotify:track:5lkpeJwmQKgY3bX2zChjxX,Adele,Someone Like You,XL Recordings,37,91,148,100697,1,Belgium
88,89,spotify:track:1B62o4CbdL9ckGvwsz2cgn,SYML,Where's My Love,Nettwerk Music Group,89,168,39,100335,1,Belgium
89,90,spotify:track:43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the party's over,Darkroom/Interscope Records,12,131,148,99852,1,Belgium
90,91,spotify:track:1LY3GhF0zxIVgbYEQjCbUO,"Disturbed, CYRIL",The Sound of Silence - CYRIL Remix,Spinnin' Records,10,50,42,99812,1,Belgium
91,92,spotify:track:5b5cPscqVEMChvDqscVw26,Dua Lipa,Training Season,Warner Records,13,92,42,98929,1,Belgium
92,93,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,40,101,137,98850,1,Belgium
93,94,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,69,99,168,98847,1,Belgium
94,95,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,95,136,4,97672,1,Belgium
95,96,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,1,90,328,97419,1,Belgium
96,97,spotify:track:0ydx75YiFzLjjQknKFNFwt,Alex Warren,Burning Down,Atlantic Records,97,-1,5,96656,1,Belgium
97,98,spotify:track:5496lks6V3fh1mZAB6IAap,"Sevdaliza, Pabllo Vittar, Yseult",Alibi (with Pabllo Vittar & Yseult),Twisted Elegance,20,83,27,96378,1,Belgium
98,99,spotify:track:46IZ0fSY2mpAiktS3KOqds,Adele,Easy On Me,Columbia,1,128,134,95518,1,Belgium
99,100,spotify:track:7z7kvUQGwlC6iOl7vMuAr9,The Weeknd,Dancing In The Flames,XO / Republic Records,57,114,17,95508,1,Belgium
