,Unnamed: 0,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
0,0,1,spotify:track:7ne4VBA60CxGM75vw0EYad,Gracie Abrams,That’s So True,"Gracie Abrams, under exclusive license to Interscope Records",1,1,12,4109730,1,United Kingdom
1,1,2,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,2,5,8,2936739,1,United Kingdom
2,2,3,spotify:track:2plbrEY59IikOBgBGLjaoe,"Lady Gaga, Bruno Mars",Die With A Smile,Interscope,3,3,21,2786942,1,United Kingdom
3,3,4,spotify:track:2262bWmqomIaJXwCRHr13j,Gigi Perez,Sailor Song,Gigi Perez PS/ Island,1,2,24,2757288,1,United Kingdom
4,4,5,spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c,"ROSÉ, Bruno Mars",APT.,Atlantic Records,4,4,12,2732219,1,United Kingdom
5,5,6,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,Darkroom/Interscope Records,1,6,34,2448227,1,United Kingdom
6,6,7,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,2,7,40,2161687,1,United Kingdom
7,7,8,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,1,9,20,1905098,1,United Kingdom
8,8,9,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,1,8,39,1741903,1,United Kingdom
9,9,10,spotify:track:1Es7AUAhQvapIcoh3qMKDL,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),XO / Republic Records,7,14,15,1547006,1,United Kingdom
10,10,11,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,1,12,41,1523974,1,United Kingdom
11,11,12,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",6,11,27,1514834,1,United Kingdom
12,12,13,spotify:track:0mflMxspEfB0VbI1kyLiAv,Noah Kahan,Stick Season,Mercury Records/Republic Records,1,13,67,1514177,1,United Kingdom
13,13,14,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,3,16,60,1439369,1,United Kingdom
14,14,15,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,3,17,39,1286071,1,United Kingdom
15,15,16,spotify:track:2tHwzyyOLoWSFqYNjeVMzj,Sabrina Carpenter,Please Please Please,Island Records,1,18,31,1262029,1,United Kingdom
16,16,17,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,11,21,34,1245016,1,United Kingdom
17,17,18,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,7,20,35,1192555,1,United Kingdom
18,18,19,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Chappell Roan,HOT TO GO!,Chappell Roan PS/ Island,8,15,32,1173135,1,United Kingdom
19,19,20,spotify:track:003vvx7Niy0yvhvHt4a68B,The Killers,Mr. Brightside,Island Records,12,19,420,1162024,1,United Kingdom
20,20,21,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,10,51,1135239,1,United Kingdom
21,21,22,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,22,33,4,1130910,1,United Kingdom
22,22,23,spotify:track:1UHS8Rf6h5Ar3CDWRd3wjF,Sabrina Carpenter,Bed Chem,Island Records,7,25,20,1091338,1,United Kingdom
23,23,24,spotify:track:6jbYpRPTEFl1HFKHk1IC0m,"Tyler, The Creator, Lola Young",Like Him (feat. Lola Young),Columbia,24,26,11,1088681,1,United Kingdom
24,24,25,spotify:track:5IZXB5IKAD2qlvTPJYDCFB,"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),Mercury Records / Republic Records,3,24,35,1063423,1,United Kingdom
25,25,26,spotify:track:3U3hFkMr0Q90pD24EkE3Pr,SZA,BMF,Top Dawg Entertainment/RCA Records,26,67,2,1062928,1,United Kingdom
26,26,27,spotify:track:3dj4wgM3cPeuLwMNHDuBon,Teddy Swims,The Door,Warner Records,27,31,35,1046732,1,United Kingdom
27,27,28,spotify:track:2A1aS3mwuGuX2yk1bgxOvA,"BL3SS, CamrinWatsin, bbyclose",Kisses (feat. bbyclose),Atlantic Records UK,12,44,30,1011721,1,United Kingdom
28,28,29,spotify:track:3wo3d0I5H8KjkwGvnz8WbB,"Sonny Fodera, Jazzy, D.O.D",Somedays,Solotoko,23,30,23,999211,1,United Kingdom
29,29,30,spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,Tyla,PUSH 2 START,FAX Records/Epic,30,43,4,994353,1,United Kingdom
30,30,31,spotify:track:6OFCzD4d8kjBOJHxz41gqA,"Dream Supplier, Baby Sleeps, Background White Noise",Clean Baby Sleep White Noise (Loopable),Dream Supplier,23,23,55,993326,1,United Kingdom
31,31,32,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,27,28,132,989512,1,United Kingdom
32,32,33,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",7,37,7,989132,1,United Kingdom
33,33,34,spotify:track:51eSHglvG1RJXtL3qI5trr,Benson Boone,Slow It Down,"Night Street Records, Inc./Warner Records Inc.",18,78,41,987686,1,United Kingdom
34,34,35,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,35,61,21,983622,1,United Kingdom
35,35,36,spotify:track:1k2pQc5i348DCHwbn5KTdc,Chappell Roan,Pink Pony Club,Chappell Roan PS/ Island,22,27,29,976576,1,United Kingdom
36,36,37,spotify:track:5QMrH5nszZZR3nefIj6Mar,"Cynthia Erivo, Ariana Grande",Defying Gravity,Universal Studios and Republic Records,14,34,7,966255,1,United Kingdom
37,37,38,spotify:track:3AJwUDP919kvQ9QcozQPxg,Coldplay,Yellow,Parlophone UK,21,36,218,955035,1,United Kingdom
38,38,39,spotify:track:3nHuKdFJZm78CoeBnDcFKe,Teddy Swims,Bad Dreams,Warner Records,39,45,15,947487,1,United Kingdom
39,39,40,spotify:track:6eWAWHm0cuOaPGDWhoLJ7s,Myles Smith,Nice To Meet You,RCA Records Label,40,52,9,922217,1,United Kingdom
40,40,41,spotify:track:3wPPWcVuinAU7dXcJXtCID,"Naughty Boy, Sam Smith",La La La,Virgin Records Ltd,41,64,2,884233,1,United Kingdom
41,41,42,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,17,39,245,881357,1,United Kingdom
42,42,43,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,23,38,113,876291,1,United Kingdom
43,43,44,spotify:track:5o0osRx8kYJTOqlOSggr9Z,Alex Warren,Carry You Home,Atlantic Records,44,65,28,866151,1,United Kingdom
44,44,45,spotify:track:63Pi2NAx5yCgeLhCTOrEou,Imogen Heap,Headlock,Megaphonic,45,82,7,856137,1,United Kingdom
45,45,46,spotify:track:7KA4W4McWYRpgf0fWsJZWB,"Tyler, The Creator, Kali Uchis",See You Again (feat. Kali Uchis),Columbia,13,46,91,843849,1,United Kingdom
46,46,47,spotify:track:0ntQJM78wzOLVeCUAW7Y45,Kings of Leon,Sex on Fire,RCA/Legacy,40,40,198,838525,1,United Kingdom
47,47,48,spotify:track:3ZZyUf7WkhfN1JkQZZ00fI,Sam Fender,People Watching,Polydor Records,14,70,8,827022,1,United Kingdom
48,48,49,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,8,22,46,824944,1,United Kingdom
49,49,50,spotify:track:2VyvDGdcVY04cNYou9MFVX,"PAWSA, The Adventures Of Stevie V",Dirty Cash (Money Talks),Altra Moda Music,42,42,8,823758,1,United Kingdom
50,50,51,spotify:track:0aB0v4027ukVziUGwVGYpG,"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),"pgLang, under exclusive license to Interscope Records",9,56,7,818750,1,United Kingdom
51,51,52,spotify:track:3dYD57lRAUcMHufyqn9GcI,Hozier,Take Me To Church,Universal-Island Records Ltd.,39,49,228,808669,1,United Kingdom
52,52,53,spotify:track:7eGuPhpdS8sBjPJNuAShUX,"Ariana Grande, Cynthia Erivo",What Is This Feeling?,Universal Studios and Republic Records,31,59,7,807594,1,United Kingdom
53,53,54,spotify:track:21B4gaTWnTkuSh77iWEXdS,Sabrina Carpenter,Juno,Island Records,19,48,20,801610,1,United Kingdom
54,54,55,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,28,41,30,794668,1,United Kingdom
55,55,56,spotify:track:4ZJ4vzLQekI0WntDbanNC7,Zach Bryan,Pink Skies,Warner Records,33,79,32,791536,1,United Kingdom
56,56,57,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,53,53,16,781129,1,United Kingdom
57,57,58,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,2,50,47,777297,1,United Kingdom
58,58,59,spotify:track:6kopmMZiyLmw7h66uXcXR7,"Mark Ronson, Amy Winehouse",Valerie (feat. Amy Winehouse) - Version Revisited,Columbia,40,54,47,772114,1,United Kingdom
59,59,60,spotify:track:1eTaznNW4Xxtx9za2SMTXB,Doechii,DENIAL IS A RIVER,Top Dawg Entertainment/Capitol Records,60,-1,1,770369,1,United Kingdom
60,60,61,spotify:track:3HrHhTWonBqF4mDasi8xvC,"Chase & Status, Stormzy",BACKBONE,EMI,1,47,22,769610,1,United Kingdom
61,61,62,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",13,71,42,756892,1,United Kingdom
62,62,63,spotify:track:51ZQ1vr10ffzbwIjDCwqm4,Ariana Grande,we can't be friends (wait for your love),Republic Records,4,69,44,754417,1,United Kingdom
63,63,64,spotify:track:6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,Warner Records,26,29,162,747526,1,United Kingdom
64,64,65,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,The Kooks,Naive,Virgin Records,54,66,361,745252,1,United Kingdom
65,65,66,spotify:track:0d28khcov6AiegSCpG5TuT,"Gorillaz, De La Soul",Feel Good Inc.,Parlophone UK,66,134,40,742428,1,United Kingdom
66,66,67,spotify:track:5RKQ5NdjSh2QzD4MaunT91,Journey,Don't Stop Believin' (2022 Remaster),Columbia/Legacy,48,57,256,741667,1,United Kingdom
67,67,68,spotify:track:456WNXWhDwYOSf5SpTuqxd,Florence + The Machine,Dog Days Are Over,Universal-Island Records Ltd.,21,98,136,738682,1,United Kingdom
68,68,69,spotify:track:0IsIY8pfu1yaGkPUD7pkDx,"Charli xcx, Billie Eilish",Guess featuring billie eilish,Atlantic Records,1,32,23,737250,1,United Kingdom
69,69,70,spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"Kendrick Lamar, SZA",All The Stars (with SZA),Black Panther (TDE/DMG) PS,2,87,110,733772,1,United Kingdom
70,70,71,spotify:track:244AvzGQ4Ksa5637JQu5Gy,Florence + The Machine,You've Got The Love,Universal-Island Records Ltd.,71,94,124,722050,1,United Kingdom
71,71,72,spotify:track:59NraMJsLaMCVtwXTSia8i,"cassö, RAYE, D-Block Europe",Prada,Ministry of Sound Recordings,4,55,74,713809,1,United Kingdom
72,72,73,spotify:track:0FDzzruyVECATHXKHFs9eJ,Coldplay,A Sky Full of Stars,Parlophone UK,51,107,32,713569,1,United Kingdom
73,73,74,spotify:track:3tFed7YsjGnIfxeLEQwx3R,"Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne","Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)",Columbia,52,108,10,708718,1,United Kingdom
74,74,75,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,17,72,208,708600,1,United Kingdom
75,75,76,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,Taylor Swift,Cruel Summer,Taylor Swift,3,51,96,705531,1,United Kingdom
76,76,77,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,16,-1,157,702540,1,United Kingdom
77,77,78,spotify:track:3Fzlg5r1IjhLk2qRw667od,Toploader,Dancing in the Moonlight,Sony Soho Square,60,62,278,697253,1,United Kingdom
78,78,79,spotify:track:5g7sDjBhZ4I3gcFIpkrLuI,Bruno Mars,Locked out of Heaven,Atlantic Records,70,74,37,696991,1,United Kingdom
79,79,80,spotify:track:3i8fIJNV0yuC4kXT3SkVBZ,Ariana Grande,Popular,Universal Studios and Republic Records,32,86,7,692096,1,United Kingdom
80,80,81,spotify:track:1KZG1H1OCugGqIRmk1wF9m,"Sam Barber, Avery Anna",Indigo (feat. Avery Anna),Lockeland Springs/Atlantic,81,158,3,684557,1,United Kingdom
81,81,82,spotify:track:5wbg8kepMFoMzHOEuxiI0q,Gracie Abrams,Close To You,"Gracie Abrams, under exclusive license to Interscope Records",47,101,30,681640,1,United Kingdom
82,82,83,spotify:track:4nyF5lmSziBAt7ESAUjpbx,Gracie Abrams,"I miss you, I’m sorry","Gracie Abrams, under exclusive license to Interscope Records",48,81,22,679270,1,United Kingdom
83,83,84,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,22,85,129,667803,1,United Kingdom
84,84,85,spotify:track:3JG1uFc40wfyrqaWC7iv0e,Artemas,i like the way you kiss me,Artemas,2,76,42,665159,1,United Kingdom
85,85,86,spotify:track:3xKsf9qdS1CyvXSMEid6g8,Frank Ocean,Pink + White,Boys Don't Cry,32,90,105,664731,1,United Kingdom
86,86,87,spotify:track:5xoUgPXbMNUmoHU0Enwtwq,The Kooks,She Moves In Her Own Way,Virgin Records,83,102,236,663354,1,United Kingdom
87,87,88,spotify:track:4sNG6zQBmtq7M8aeeKJRMQ,Declan McKenna,Brazil,Tomplicated,59,138,114,662243,1,United Kingdom
88,88,89,spotify:track:4RvWPyQ5RL0ao9LPZeSouE,Tears For Fears,Everybody Wants To Rule The World,UMC (Universal Music Catalogue),37,83,161,656980,1,United Kingdom
89,89,90,spotify:track:0gEyKnHvgkrkBM6fbeHdwK,The Cranberries,Linger,Island Records,41,125,50,646047,1,United Kingdom
90,90,91,spotify:track:2uXlHCUbq9OMUwx3hrk06o,Vance Joy,Riptide,Atlantic Records,13,35,373,642660,1,United Kingdom
91,91,92,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,SZA,Snooze,Top Dawg Entertainment/RCA Records,49,89,95,641011,1,United Kingdom
92,92,93,spotify:track:19RybK6XDbAVpcdxSbZL1o,Charli xcx,Apple,Atlantic Records,12,73,26,640909,1,United Kingdom
93,93,94,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,94,100,12,638748,1,United Kingdom
94,94,95,spotify:track:3ZOEytgrvLwQaqXreDs2Jx,Red Hot Chili Peppers,Can't Stop,Warner Records,69,-1,70,638376,1,United Kingdom
95,95,96,spotify:track:5rF6YUIlgiat22OT1lWspJ,Sam Fender,Seventeen Going Under,Polydor Records,2,131,132,637987,1,United Kingdom
96,96,97,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,WALK THE MOON,Shut Up and Dance,RCA Records Label,52,77,165,635134,1,United Kingdom
97,97,98,spotify:track:25FTMokYEbEWHEdss5JLZS,Wheatus,Teenage Dirtbag,Columbia,72,191,30,633680,1,United Kingdom
98,98,99,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,2,97,102,631156,1,United Kingdom
99,99,100,spotify:track:0eaVIYo2zeOaGJeqZ5TwYz,Don Toliver,No Pole,Cactus Jack / Atlantic,100,133,4,623462,1,United Kingdom
100,100,101,spotify:track:6MzofobZt2dm0Kf1hTThFz,Addison Rae,Diet Pepsi,Columbia,22,120,19,622960,1,United Kingdom
101,101,102,spotify:track:0cQVqPuHQP4KEwc7ZUQmj6,The Neighbourhood,Sweater Weather,Columbia,19,119,218,622945,1,United Kingdom
102,102,103,spotify:track:5TTGoX70AFrTvuEtqHK37S,Arctic Monkeys,No. 1 Party Anthem,Domino Recording Co,103,161,7,617965,1,United Kingdom
103,103,104,spotify:track:7FwBtcecmlpc1sLySPXeGE,Bruce Springsteen,Dancing In the Dark,Columbia,79,93,31,617071,1,United Kingdom
104,104,105,spotify:track:5hnyJvgoWiQUYZttV4wXy6,Snow Patrol,Chasing Cars,Polydor Records,105,154,105,612218,1,United Kingdom
105,105,106,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,68,143,257,612087,1,United Kingdom
106,106,107,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,14,135,204,607730,1,United Kingdom
107,107,108,spotify:track:3WSOUb3U7tqURbBSgZTrZX,Chappell Roan,Casual,Chappell Roan PS/ Island,38,132,29,607691,1,United Kingdom
108,108,109,spotify:track:3E9IzxNXsk7yFfc1SHpiG1,"Lil Baby, Young Thug, Future","Dum, Dumb, and Dumber (with Young Thug & Future)",Quality Control Music/Motown Records,109,-1,1,607411,1,United Kingdom
109,109,110,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Kendrick Lamar,Not Like Us,"Kendrick Lamar, under exclusive license to Interscope Records",6,91,35,605964,1,United Kingdom
110,110,111,spotify:track:6BPcUXYERAahpunmb0AovH,"Arcane, Stromae, Pomme",Ma Meilleure Ennemie (from the series Arcane League of Legends),Riot Games,42,127,7,604650,1,United Kingdom
111,111,112,spotify:track:3Pbp7cUCx4d3OAkZSCoNvn,Michael Marcagi,Scared To Start,Warner Records,9,58,51,602859,1,United Kingdom
112,112,113,spotify:track:7FOgcfdz9Nx5V9lCNXdBYv,Chappell Roan,Red Wine Supernova,Chappell Roan PS/ Island,34,129,35,601722,1,United Kingdom
113,113,114,spotify:track:3nqqDo8CcCLke3ZoTgiOKf,The Script,The Man Who Can't Be Moved,Epic/Phonogenic,65,141,39,601130,1,United Kingdom
114,114,115,spotify:track:2LMkwUfqC6S6s6qDVlEuzV,Frank Ocean,White Ferrari,Boys Don't Cry,95,137,11,600791,1,United Kingdom
115,115,116,spotify:track:254bXAqt3zP6P50BdQvEsq,Fleetwood Mac,Everywhere - 2017 Remaster,Rhino/Warner Records,47,84,301,600361,1,United Kingdom
116,116,117,spotify:track:7BRD7x5pt8Lqa1eGYC4dzj,Billie Eilish,CHIHIRO,Darkroom/Interscope Records,7,157,33,596308,1,United Kingdom
117,117,118,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,11,63,54,592583,1,United Kingdom
118,118,119,spotify:track:6EUcP55GlbmsmCzfL2vxtZ,Gunna,on one tonight,300 Entertainment,113,116,13,590599,1,United Kingdom
119,119,120,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,85,115,192,588822,1,United Kingdom
120,120,121,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,7,159,17,587402,1,United Kingdom
121,121,122,spotify:track:4tKGFmENO69tZR9ahgZu48,Sophie Ellis-Bextor,Murder On The Dancefloor,Polydor Records,2,60,43,583959,1,United Kingdom
122,122,123,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,Ransom,Republic Records,5,75,70,583857,1,United Kingdom
123,123,124,spotify:track:7BqBn9nzAq8spo5e7cZ0dJ,Bruno Mars,Just the Way You Are,Elektra (NEK),106,118,11,583331,1,United Kingdom
124,124,125,spotify:track:2tpWsVSb9UEmDRxAl1zhX1,OneRepublic,Counting Stars,Mosley / Interscope,99,130,158,573758,1,United Kingdom
125,125,126,spotify:track:75JFxkI2RXiU7L9VXzMkle,Coldplay,The Scientist,Parlophone Records Limited,64,171,18,572569,1,United Kingdom
126,126,127,spotify:track:3oNTJ5qiAQx8xfIbYWWB7W,"Braelyn Rankins, Theo Somolu, Aaron Pierre, Kelvin Harrison Jr., Disney",I Always Wanted A Brother,Walt Disney Records,127,-1,1,571947,1,United Kingdom
127,127,128,spotify:track:4S4QJfBGGrC8jRIjJHf1Ka,PinkPantheress,Pain,Parlophone UK,33,105,38,571700,1,United Kingdom
128,128,129,spotify:track:7G7tgVYORlDuVprcYHuFJh,Crowded House,Don't Dream It's Over,Capitol Records,37,-1,9,570983,1,United Kingdom
129,129,130,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,20,104,27,570347,1,United Kingdom
130,130,131,spotify:track:7GaFYUqP2WdR4KTPk7cXoP,Mario,Let Me Love You,J Records,131,174,5,568274,1,United Kingdom
131,131,132,spotify:track:41P6Tnd8KIHqON0QIydx6a,beabadoobee,the perfect pair,Dirty Hit,132,181,3,568226,1,United Kingdom
132,132,133,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,30,147,31,568087,1,United Kingdom
133,133,134,spotify:track:5zA8vzDGqPl2AzZkEYQGKh,Billy Joel,Uptown Girl,Columbia,86,110,28,567675,1,United Kingdom
134,134,135,spotify:track:6me7F0aaZjwDo6RJ5MrfBD,Richy Mitch & The Coal Miners,Evergreen,Richy Mitch & The Coal Miners,26,96,69,567361,1,United Kingdom
135,135,136,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,31,136,29,566247,1,United Kingdom
136,136,137,spotify:track:6D8y7Bck8h11byRY88Pt2z,Dua Lipa,Houdini,Warner Records,7,139,44,566032,1,United Kingdom
137,137,138,spotify:track:0MXmiqd7zoXxv6Gqn9ahhQ,Fontaines D.C.,Bug,XL Recordings,138,165,3,563140,1,United Kingdom
138,138,139,spotify:track:4GhtDORJiSRYxj6M1bv0vX,Billy Ocean,Love Really Hurts Without You,Sony Music UK,122,122,2,562053,1,United Kingdom
139,139,140,spotify:track:27w0RH5IDt6xU3B2j7QOuy,Fontaines D.C.,Favourite,XL Recordings,133,193,3,561721,1,United Kingdom
140,140,141,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,The Marías,No One Noticed,Nice Life/Atlantic,141,-1,1,560235,1,United Kingdom
141,141,142,spotify:track:2ixsaeFioXJmMgkkbd4uj1,George Ezra,Budapest,Columbia,66,194,130,559980,1,United Kingdom
142,142,143,spotify:track:6qo8v2y2MHUSPLs7VBc6cG,"Jonathan Bailey, Ariana Grande, Ethan Slater, Marissa Bode, Cynthia Erivo",Dancing Through Life,Universal Studios and Republic Records,59,199,6,559930,1,United Kingdom
143,143,144,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,"Taylor Swift, Post Malone",Fortnight (feat. Post Malone),Taylor Swift,1,146,34,557326,1,United Kingdom
144,144,145,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,6,80,203,556863,1,United Kingdom
145,145,146,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,Bruno Mars,That's What I Like,Atlantic Records,10,126,45,556636,1,United Kingdom
146,146,147,spotify:track:5SkRLpaGtvYPhw02vZhQQ9,"Kanye West, Syleena Johnson",All Falls Down,Roc-A-Fella,93,-1,42,555394,1,United Kingdom
147,147,148,spotify:track:6CltzquypraYIlWFp48m1O,Sam Fender,Hypersonic Missiles,Polydor Records,66,188,54,553635,1,United Kingdom
148,148,149,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Radiohead,Creep,XL Recordings,104,180,44,552772,1,United Kingdom
149,149,150,spotify:track:5AJ9hqTS2wcFQCELCFRO7A,Tommy Richman,MILLION DOLLAR BABY,PULSE Records,2,117,36,551706,1,United Kingdom
150,150,151,spotify:track:3qaSqrrevBrb84xl5JlptU,Stereophonics,Dakota,UMC (Universal Music Catalogue),147,169,28,550737,1,United Kingdom
151,151,152,spotify:track:4w2GLmK2wnioVnb5CPQeex,Charli xcx,360,Atlantic Records,15,99,27,549262,1,United Kingdom
152,152,153,spotify:track:51ODNNDZm21HU7wI7cccRr,"Disclosure, Sam Smith",Latch,Universal-Island Records Ltd.,153,190,2,547736,1,United Kingdom
153,153,154,spotify:track:7e8utCy2JlSB8dRHKi49xM,Arctic Monkeys,Fluorescent Adolescent,Domino Recording Co,40,153,257,546034,1,United Kingdom
154,154,155,spotify:track:4iZxeyibg6w4EFCOoAQ6Eh,Two Door Cinema Club,What You Know,Glassnote - VMG,45,177,131,545873,1,United Kingdom
155,155,156,spotify:track:0B7wvvmu9EISAwZnOpjhNI,Bruno Mars,When I Was Your Man,Atlantic Records,68,-1,27,544623,1,United Kingdom
156,156,157,spotify:track:629DixmZGHc7ILtEntuiWE,Billie Eilish,LUNCH,Darkroom/Interscope Records,2,155,30,543372,1,United Kingdom
157,157,158,spotify:track:7D0RhFcb3CrfPuTJ0obrod,Coldplay,Sparks,Parlophone UK,82,-1,16,540540,1,United Kingdom
158,158,159,spotify:track:6dBUzqjtbnIa1TwYbyw5CM,TV Girl,Lovers Rock,TV Girl,90,176,76,540448,1,United Kingdom
159,159,160,spotify:track:2hrycoFU1mZw6YPvMcn8yC,Jordan Adetunji,KEHLANI,300 Entertainment,17,88,30,540118,1,United Kingdom
160,160,161,spotify:track:49x8Zp5wDjoquBE1THLLCV,The Temper Trap,Sweet Disposition,Infectious Music,142,-1,12,540082,1,United Kingdom
161,161,162,spotify:track:5aIVCx5tnk0ntmdiinnYvw,Tyla,Water,FAX Records/Epic,3,109,51,539507,1,United Kingdom
162,162,163,spotify:track:6RUKPb4LETWmmr3iAEQktW,"The Chainsmokers, Coldplay",Something Just Like This,Disruptor Records/Columbia,3,179,85,539366,1,United Kingdom
163,163,164,spotify:track:5EcG8eMMlwkHRVa4aTR1qd,Rihanna,Breakin' Dishes,Def Jam Recordings,164,192,2,539299,1,United Kingdom
164,164,165,spotify:track:5VGlqQANWDKJFl0MBG3sg2,Kings of Leon,Use Somebody,RCA/Legacy,150,-1,20,538569,1,United Kingdom
165,165,166,spotify:track:4q5YezDOIPcoLr8R81x9qy,Taylor Swift,I Can Do It With a Broken Heart,Taylor Swift,4,167,34,538322,1,United Kingdom
166,166,167,spotify:track:4HvBJocC5MDYL4yGnQe5jq,"The Blessed Madonna, Clementine Douglas",Happier (feat. Clementine Douglas),Warner Records,33,144,32,537697,1,United Kingdom
167,167,168,spotify:track:2nLtzopw4rPReszdYBJU6h,Linkin Park,Numb,Warner Records,32,-1,19,536211,1,United Kingdom
168,168,169,spotify:track:1LzNfuep1bnAUR9skqdHCK,Mazzy Star,Fade Into You,Capitol Records,169,-1,6,535271,1,United Kingdom
169,169,170,spotify:track:5FVd6KXrgO9B3JPmC8OPst,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,24,195,351,535016,1,United Kingdom
170,170,171,spotify:track:4KULAymBBJcPRpk1yO4dOG,"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),Warner Records,23,95,71,534965,1,United Kingdom
