,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
45,46,spotify:track:4c2Pc0NrfkesPR0jff6q3F,Bad Bunny,KETU TeCRÉ,Rimas Entertainment LLC.,46,-1,1,170796,2,Portugal
46,47,spotify:track:1M7pnSHpd4i5xFE2nUGq2W,Plutonio,Acordar,Bridgetown Records,24,30,34,169518,2,Portugal
47,48,spotify:track:4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,Rimas Entertainment LLC.,48,-1,1,169317,2,Portugal
48,49,spotify:track:6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,Rimas Entertainment LLC.,49,-1,1,168544,2,Portugal
49,50,spotify:track:0fPOFtS7ZylYKcC9b64cSj,Slow J,Tata,Slow J,1,27,60,167305,2,Portugal
50,51,spotify:track:5G0kKNRYFCoORvJ2VzwvrY,"Mc Livinho, DJ TOPO",MTG PASSA PASSA PRA EU SARRAR,Mc Livinho,32,32,15,166863,2,Portugal
51,52,spotify:track:1yjYtmNf1DpfQMjBpVy5rg,Plutonio,Luxemburgo,Bridgetown Records,10,34,15,164039,2,Portugal
52,53,spotify:track:7uekYsGKTZM2LfyjB87x0Y,"Van Zee, FRANKIEONTHEGUITAR",Como Seria? / Amor Sóbrio,Van Zee & FRANKIEONTHEGUITAR,53,-1,1,163251,2,Portugal
53,54,spotify:track:6RjSXi9cPGroetXeNsWFGL,"DJ TOPO, Seu Jorge, Mc Leozin, MC G15",MTG QUEM NÃO QUER SOU EU,DJ TOPO,1,33,35,161591,2,Portugal
54,55,spotify:track:0KaBRSJ3y94TNQbFUf9WBZ,"LON3R JOHNY, ProfJam",PURO,"Mário Cotrim, LON3R JOHNY",55,-1,1,159660,2,Portugal
55,56,spotify:track:0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Sony Music Latin/Duars Entertainment,56,166,5,159648,2,Portugal
56,57,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Billie Eilish,WILDFLOWER,Darkroom/Interscope Records,13,31,35,159083,2,Portugal
57,58,spotify:track:0Sk51UsTSB4jyskVyb7u9n,"LON3R JOHNY, ProfJam",BALÕES,"Mário Cotrim, LON3R JOHNY",58,-1,1,158216,2,Portugal
58,59,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",4,36,51,154567,2,Portugal
59,60,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",20,35,24,153688,2,Portugal
60,61,spotify:track:2CGNAOSuO1MEFCbBRgUzjd,"Kendrick Lamar, SZA",luther (with sza),"pgLang, under exclusive license to Interscope Records",6,40,8,149513,2,Portugal
61,62,spotify:track:1X3ltingEVNGRoJf1dvZfQ,Plutonio,Somos Iguais,Bridgetown Records,5,38,207,146221,2,Portugal
62,63,spotify:track:4FbYt9D0katV4nXZaC01Yt,"Mc Negão Original, DJ Guh Mix, DJ Japa NK",Medley de Igaratá 3,Cria Hit BR,42,48,5,143215,2,Portugal
63,64,spotify:track:3H7eBmcTJyuEMStfmKuLmG,"MC Cebezinho, DJ Oreia, MC Tuto, Love Funk, Mc Kako",A Danada Me Ligando,Love Funk,37,42,19,142958,2,Portugal
64,65,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,1,41,32,142776,2,Portugal
65,66,spotify:track:2HRqTpkrJO5ggZyyK6NPWz,Sabrina Carpenter,Espresso,Island Records,4,37,40,142505,2,Portugal
66,67,spotify:track:6x6EA3N9xXgptSakS7VZUg,"GORDÃO DO PC, Mc Menor DN, Mc Leozin, Ana Laura Lopes",FANTASMA (versão GORDÃO DO PC),Alt Music,64,64,2,141141,2,Portugal
67,68,spotify:track:44BehH5rk8B5K4OtRxqpez,"MC Tuto, Oldilla",E Aí Como Que Tá ?,Sonar Music,35,39,10,138697,2,Portugal
68,69,spotify:track:5nPbKG04fhLkIAjcPFaZq7,"HUGEL, Topic, Arash, Daecolm",I Adore You (feat. Daecolm),Virgin,14,46,25,136337,2,Portugal
69,70,spotify:track:1cTamrfYAUHnoiMf2gpq55,"Richie Campbell, Van Zee, FRANKIEONTHEGUITAR",Even,Bridgetown Records,8,43,31,135143,2,Portugal
70,71,spotify:track:2y5mEYDDPoQCgz55sP3eUz,Miguel Luz,Amor De Ganga,Miguel Luz,11,51,12,132983,2,Portugal
71,72,spotify:track:1Hg0e997pObvZ91w1FCPFk,Bad Bunny,LO QUE LE PASÓ A HAWAii,Rimas Entertainment LLC.,72,-1,1,132167,2,Portugal
72,73,spotify:track:4zww0H1u0yYvyBGixrRCb9,Dillaz,Mo Boy,Seventy Five,20,53,248,131858,2,Portugal
73,74,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,11,47,42,130295,2,Portugal
74,75,spotify:track:4ssHL7bSnOAE7HjiuLx6Co,Matuê,Crack com Mussilon,30PRAUM,6,45,19,128671,2,Portugal
75,76,spotify:track:0ZEQ6vnAHTARAgpxFF8NLS,Van Zee,Amar De Cor,Van Zee,21,57,77,128194,2,Portugal
76,77,spotify:track:51Bmvm95rfbb7fJnVzAC77,"Van Zee, FRANKIEONTHEGUITAR",Quem És Tu?,Van Zee & FRANKIEONTHEGUITAR,54,-1,4,125104,2,Portugal
77,78,spotify:track:6Kyl2nFgU0J8WBlbBvDv6g,Grupo Menos É Mais,Coração Partido (Corazón Partío) - Ao Vivo,Som Livre,53,59,18,123554,2,Portugal
78,79,spotify:track:6YdJ2jJOo143KhXT9qvQVe,"MC GP, MC Jvila, MC LUUKY, Dj Yuri Pedrada",300 no 7,MC GP & GR6,56,65,15,122008,2,Portugal
79,80,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,18,44,33,121728,2,Portugal
80,81,spotify:track:71Aj0joTSW4wv8olaHNBvK,Plutonio,Montanha,Bridgetown Records,20,50,10,121124,2,Portugal
81,82,spotify:track:1EDPVGbyPKJPeGqATwXZvN,Linkin Park,The Emptiness Machine,Warner Records,2,56,19,120637,2,Portugal
82,83,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,6,49,21,117921,2,Portugal
83,84,spotify:track:1Nmcs8zk7LfcvHRgLtTM5J,"Orochi, Papatinho",Amor de Fim de Noite,Mainstreet Records,84,98,84,117910,2,Portugal
84,85,spotify:track:7ldcYtMOjtX1eFVEYzj2kJ,"Luísa Sonza, KayBlack",Sagrado Profano,Sony Music Entertainment,1,67,33,117472,2,Portugal
85,86,spotify:track:6RzcNTnS02dnqoQMdTkQwi,"Brenno & Matheus, DJ Ari SL",Descer Pra BC,New Music,51,63,5,116767,2,Portugal
86,87,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,"The Weeknd, Anitta",São Paulo (feat. Anitta),XO / Republic Records,3,61,12,116549,2,Portugal
87,88,spotify:track:7CyPwkp0oE8Ro9Dd5CUDjW,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",XO / Republic Records,21,54,62,116351,2,Portugal
88,89,spotify:track:0vfN1RYc1aDmf46CpE7EsC,Plutonio,Casa Melhor,Bridgetown Records,6,52,10,115771,2,Portugal
89,90,spotify:track:23PQOfRFXeQ6ZR4q7ZfM5r,Bispo,O Teu Cheiro,Bispo,4,55,14,115360,2,Portugal
90,91,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,91,-1,17,115231,2,Portugal
