,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
40,41,spotify:track:0rtDE9zfXbamTlRUSwY7zy,Mark Ambor,Belong Together,"Hundred Days Records, LLC",4,46,43,844740,1,Germany
41,42,spotify:track:17phhZDn6oGtzMe56NuWvj,Teddy Swims,Lose Control,Warner Records,9,49,53,841712,1,Germany
42,43,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,28,55,29,835716,1,Germany
43,44,spotify:track:3U5JVgI2x4rDyHGObzJfNf,Natasha Bedingfield,Unwritten,Sony Music CG,2,21,52,834156,1,Germany
44,45,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",1,22,51,827922,1,Germany
45,46,spotify:track:3M0lSi5WW79CXQamgSBIjx,Chase Atlantic,Swim,Warner Records,46,70,11,821348,1,Germany
46,47,spotify:track:5NtZlpRVomRYn5FYVwAYtO,Jazeek,Superstars,NINETYNINE MUSIC x Good Kid Records x VENTURA Records,27,76,59,814742,1,Germany
47,48,spotify:track:7cCdHHl3V2Z9kqNhmmh3vg,"Aymen, Amo, Ché Salah",TirTak,Epic/Moon Boys,48,-1,1,803875,1,Germany
48,49,spotify:track:3ilgxZl5g7MOQCUiky3VOG,Pashanim,Ms. Jackson,Urban,1,71,72,797317,1,Germany
49,50,spotify:track:0h3Xy4V4apMraB5NuM8U7Z,CYRIL,Stumblin' In,Spinnin' Records,7,17,52,790066,1,Germany
50,51,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,48,48,10,785396,1,Germany
51,52,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,Shaboozey,A Bar Song (Tipsy),American Dogwood / EMPIRE,15,53,38,780630,1,Germany
52,53,spotify:track:22skzmqfdWrjJylampe0kt,"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),Macklemore,43,51,219,776029,1,Germany
53,54,spotify:track:5EcG8eMMlwkHRVa4aTR1qd,Rihanna,Breakin' Dishes,Def Jam Recordings,54,101,3,765646,1,Germany
54,55,spotify:track:1BJJbSX6muJVF2AK7uH1x4,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,Keinemusik,3,37,31,757823,1,Germany
55,56,spotify:track:3hRV0jL3vUpRrcy398teAU,Lord Huron,The Night We Met,Play It Again Sam,50,73,85,753220,1,Germany
56,57,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,57,69,75,751401,1,Germany
57,58,spotify:track:31nfdEooLEq7dn3UMcIeB5,BENNETT,Vois sur ton chemin - Techno Mix,Warner Music Central Europe,1,25,75,748349,1,Germany
58,59,spotify:track:7oQepKHmXDaPC3rgeLRvQu,"Udo Lindenberg, Apache 207",Komet,Warner Music Central Europe,1,52,103,744203,1,Germany
59,60,spotify:track:0xGQTpN4ESETtl1Sp6rzd2,"The Weeknd, Anitta",São Paulo (feat. Anitta),XO / Republic Records,11,92,9,744104,1,Germany
60,61,spotify:track:4yNd1xo3DZ75MqPMscauEG,"YAKARY, Jamule",Moonlight Dreams,Life is Pain,7,77,16,737307,1,Germany
61,62,spotify:track:60a0Rd6pjrkxjPbaKzXjfq,Linkin Park,In the End,Warner Records,15,38,300,735718,1,Germany
62,63,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,10,88,201,718939,1,Germany
63,64,spotify:track:3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,Djo,3,68,46,714707,1,Germany
64,65,spotify:track:4MSj19TwYBLgDFj3ddEeco,"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),UROK,9,85,24,713702,1,Germany
65,66,spotify:track:3qcreqi8RaGqahtJSQDxNI,GReeeN,Panama,recordJet,1,64,32,713141,1,Germany
66,67,spotify:track:0M02KarGlX2UACt6BJQb8S,"oddworld, reezy, OG Keemo",money,oddworld,12,115,7,696549,1,Germany
67,68,spotify:track:5lOM8wfa2HMTqFYO39ADCX,Paves 16,Weg zu weit,Off Tape Records,68,108,4,693335,1,Germany
68,69,spotify:track:64CWBV60WRWZhb92wmxNNd,"Niklas Dee, René Miller",Around The World,Bamboo Artists,28,47,22,691771,1,Germany
69,70,spotify:track:19XpFsce28aByvCC4g89tJ,Hozier,Too Sweet,Rubyworks / Universal-Island Records Ltd,8,83,40,688682,1,Germany
70,71,spotify:track:2oFGVKqfwlYJKGzPWFYL9K,"187 Strassenbande, LX, Bonez MC, Gzuz, Maxwell, Sa4, AchtVier",Allstars 2024,187 Strassenbande,41,41,3,685361,1,Germany
71,72,spotify:track:331l3xABO0HMr1Kkyh2LZq,"David Guetta, OneRepublic",I Don't Wanna Wait,Parlophone UK,26,45,32,683910,1,Germany
72,73,spotify:track:1cXo8i9dgutdqjhjz3Zwqq,"Zartmann, Drumla, Dauner",eehhhyyy,Bamboo Artists/Epic,13,81,27,681811,1,Germany
73,74,spotify:track:2byoNXF9Y6qhIGBq33ATEm,"Shirin David, Sampagne",it girl (feat. sampagne),Juicy Money Records,2,59,11,672988,1,Germany
74,75,spotify:track:1We3jgIztlD2Tkb0yOoX4b,Provinz,Walzer,Provinz,44,65,5,672212,1,Germany
75,76,spotify:track:2FAZskT9yRjp2Oow9szJD8,"Chrystal, NOTION",The Days - NOTION Remix,Polydor Records,76,196,2,668239,1,Germany
76,77,spotify:track:52S2iqiSqscXuT8I0bGNzN,LACAZETTE,WER,LACAZETTE,42,60,4,665755,1,Germany
77,78,spotify:track:0Ne6d3k9zcUcHsaG6zelFD,"nocashfromparents, Gzuz, SHOKI",Stroboparty,Four Music/nocashfromparents,78,78,2,659607,1,Germany
78,79,spotify:track:51rfRCiUSvxXlCSCfIztBy,Gracie Abrams,"I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",79,104,15,652943,1,Germany
79,80,spotify:track:1KZG1H1OCugGqIRmk1wF9m,"Sam Barber, Avery Anna",Indigo (feat. Avery Anna),Lockeland Springs/Atlantic,80,173,2,651481,1,Germany
80,81,spotify:track:3bg2qahpZmsg5wV2EMPXIk,"David Guetta, Alphaville, Ava Max",Forever Young,Parlophone UK,39,39,3,651307,1,Germany
81,82,spotify:track:5iviRbXQMPPJJrK6nTjYGA,Nimo,Mittelmeer,MOONBOYS ENTERTAINMENT/Warner Music Central Europe,18,106,7,645980,1,Germany
82,83,spotify:track:1XBYiRV30ykHw5f4wm6qEn,The Kid LAROI,NIGHTS LIKE THIS,Columbia,54,93,28,642326,1,Germany
83,84,spotify:track:1Cbl3Yq8rHo7hhDQmLQagU,Tyla,PUSH 2 START,FAX Records/Epic,84,125,2,642230,1,Germany
84,85,spotify:track:4WeHpXTdNPBa3WI1qLI84W,Souly,Das erste Mal,Souly,85,124,7,641497,1,Germany
85,86,spotify:track:2FiJGvN3fiXMwms9IftNV0,"FiNCH, Tream",LiEBE AUF DER RÜCKBANK,Walk This Way Records,17,33,83,639217,1,Germany
86,87,spotify:track:0Rgdhptwk0A3Clbu5RpYI1,"Luciano, Jazeek",Starboy,URBAN,1,111,24,624332,1,Germany
87,88,spotify:track:59hwJ5R44DZIGrP5LX8xPT,AYLIVA,Beifahrer,Whiteheart Records/WM Germany,9,95,30,616723,1,Germany
88,89,spotify:track:42VsgItocQwOQC3XWZ8JNA,"Travis Scott, Playboi Carti",FE!N (feat. Playboi Carti),Cactus Jack/Epic,4,75,73,615408,1,Germany
89,90,spotify:track:0nrRP2bk19rLc0orkWPQk2,Avicii,Wake Me Up,Universal Music AB,26,-1,10,614815,1,Germany
90,91,spotify:track:7cMhicmOIwfJlWURl90AOc,Noizy,Follow You,Southeast Records x Ventura Records,55,114,8,611680,1,Germany
91,92,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Myles Smith,Stargazing,RCA Records Label,10,98,34,603681,1,Germany
92,93,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Aftermath,4,136,117,602664,1,Germany
93,94,spotify:track:4OcLz7KTKPK7pVHYedr6Ek,Pashanim,Matrix Lights,Urban,94,-1,2,600148,1,Germany
94,95,spotify:track:1CDQzbCz4KSQxHe7LMEgRM,Eminem,Houdini,Shady/Aftermath/Interscope Records,2,90,31,599277,1,Germany
95,96,spotify:track:77ILSQGJhqDVOfeWdtEexk,"PENOMECO, YDG",BOLO (feat. YDG),피네이션,96,-1,1,599059,1,Germany
96,97,spotify:track:2374M0fQpWi3dLnB54qaLX,TOTO,Africa,Columbia,80,80,47,598546,1,Germany
97,98,spotify:track:5G2f63n7IPVPPjfNIGih7Q,Sabrina Carpenter,Taste,Island Records,23,130,18,598053,1,Germany
98,99,spotify:track:5WMxgYMsD1EBvov648dlCS,"KALIM, CANEY030, Yuyu19, Nizi19",CODEIN COWBOY,KALIM,99,153,2,596712,1,Germany
99,100,spotify:track:6RRHgO4jfzgD3HRwXjRg1U,FiNCH,NEVER STOP,Walk This Way Records,100,121,3,586739,1,Germany
100,101,spotify:track:7fc7Z9hY2hzimmFvo2JO8p,"$OHO BANI, Herbert Grönemeyer, Ericson","ZEIT, DASS SICH WAS DREHT",Epic/$OHO BANI,1,62,45,585959,1,Germany
101,102,spotify:track:2uqYupMHANxnwgeiXTZXzd,Dasha,Austin (Boots Stop Workin'),Warner Records,17,66,43,575423,1,Germany
102,103,spotify:track:3bK1zVFBKIzYjmptmI4NsJ,"Ofenbach, Norma Jean Martine",Overdrive (feat. Norma Jean Martine),Elektra France,10,74,56,574983,1,Germany
