,rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,week,country
110,111,spotify:track:2wriIDkmJi8ouCfNi985KT,ANNA,UNA TIPA COME ME,Universal Music Italia srL.,64,74,28,481525,1,Italy
111,112,spotify:track:0sHrLJSJjXgYfylCXqXjGN,Rondodasosa,GHETTO,Warner Music,112,-1,1,480493,1,Italy
112,113,spotify:track:35ISBknsCeZQtq66xABI9g,Lola Young,Messy,Universal-Island Records Ltd.,113,-1,1,479362,1,Italy
113,114,spotify:track:49mN8ph1LK58r7TMYW1Srb,"Fred De Palma, Rose Villain",MMH (feat. Rose Villain),Warner Music,77,112,12,476646,1,Italy
114,115,spotify:track:07qo9gnLM488CUr0EtgIA1,Cesare Cremonini,Poetica,Universal Music Italia srL.,15,137,56,472427,1,Italy
115,116,spotify:track:3w73qvCSGWPCx7w1UMIh6e,Capo Plaza,Lo So Che,Warner Music,34,182,7,471296,1,Italy
116,117,spotify:track:0sZ7ORHX2NHuIQZjpX0Te4,"Night Skinny, Tony Boy, anice, Geolier, Shiva","Solo Dio sa (feat. Tony Boy, anice, Geolier & Shiva)",Universal Music Italia srL.,5,101,13,470321,1,Italy
117,118,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Jimin,Who,BIGHIT MUSIC,92,107,24,469583,1,Italy
118,119,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan,"Good Luck, Babe!",Chappell Roan PS/ Island,116,130,19,467062,1,Italy
119,120,spotify:track:4z9xPVz2Sii4dhM7yhxOpj,"Geolier, Sfera Ebbasta, Dardust",IO T’O GIUR’ (feat. Sfera Ebbasta),Warner Music,7,154,30,467027,1,Italy
120,121,spotify:track:1CJNj8Qnpoz6lyil9EgqfE,"Astro, Simba La Rue",SPENDERE (feat. Simba La Rue),Warner Music,10,97,14,464207,1,Italy
121,122,spotify:track:29nqe5lhK8JmNcVXum7UuA,"Kid Yugi, Tedua, Junior K",Eva (feat. Tedua),Universal Music Italia srL.,3,98,45,462318,1,Italy
122,123,spotify:track:0bKDQionn4VKcgNKbs4SWX,Pinguini Tattici Nucleari,Pastello Bianco,RCA Records Label,2,150,139,462224,1,Italy
123,124,spotify:track:0p4TRJB0KEBaeC5yBwLzNL,"Shiva, Paky",Digos,Milano Ovest,47,86,3,460063,1,Italy
124,125,spotify:track:1jM7qLKYebmZhnjwl2MpTo,"Papa V, Nerissima Serpe, Fritu",Apparecchiato (feat. Nerissima Serpe),Columbia,96,109,23,459917,1,Italy
125,126,spotify:track:5nqOdSrqurNq8ejE7Ujc9l,Kid Yugi,Il Filmografo,Universal Music Italia srL.,97,145,32,458492,1,Italy
126,127,spotify:track:3NLdcu14EPntcZIn3mxSR7,"Kid Yugi, Night Skinny, Tony Boy",Sintetico (feat. Tony Boy),Universal Music Italia srL.,76,127,64,455648,1,Italy
127,128,spotify:track:76VxwttPNesap8xfdDn8tG,"Glocky, Faneto",MOLLY ROSA,Square / Trenches Records Ent,128,158,4,453798,1,Italy
128,129,spotify:track:4elAiEgBssziHLfCrBoEA2,"Cesare Cremonini, Luca Carboni",San Luca (feat. Luca Carboni),Universal Music Italia srL.,54,136,6,450623,1,Italy
129,130,spotify:track:3KqIOF2HTFEwz0HmErwOYG,"Lazza, Sfera Ebbasta",FENTANYL (feat. Sfera Ebbasta),Universal Music Italia srL.,1,171,15,450154,1,Italy
130,131,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,Polydor Records,120,120,7,449831,1,Italy
131,132,spotify:track:0Okgqls9nKLzgnQGL9HGVL,"Simba La Rue, FT Kings",40 GRADI,Warner Music,33,135,18,446970,1,Italy
132,133,spotify:track:7115pIZRP1L0MaJCPFPPFM,Tony Boy,Come mi guardi,Gorilla Records,102,165,17,446486,1,Italy
133,134,spotify:track:2xjxaKiYssIdDU6DCPpZPt,Dark Polo Gang,Cambiare Adesso,Universal Music Italia srL.,1,123,67,444114,1,Italy
134,135,spotify:track:6RJW9DiBr1RDjgT4GdCSp7,"Geolier, Dat Boi Dee, ROOM9","FERRARI (from ""Uonderbois"")",Warner Music,135,-1,2,442272,1,Italy
135,136,spotify:track:6T0QOCB2vNIBHlw5OZiyah,Tony Boy,Il tempo cura,Warner Music,10,167,17,437810,1,Italy
136,137,spotify:track:74cyFjvgjyiFiQ3QxszFWq,Tananai,TANGO,Universal Music Italia srL.,3,144,98,434217,1,Italy
137,138,spotify:track:1HCwbTHBvC4XCIC417NB5k,Rose Villain,CLICK BOOM!,Warner Music,7,99,49,433797,1,Italy
138,139,spotify:track:3qxiSQOe8EhQm7OckqKiUu,"Tony Effe, Bresh, Tedua",DOPO LE 4 (feat. Bresh & Tedua),Universal Music Italia srL.,1,139,43,431267,1,Italy
139,140,spotify:track:2vrIP2Q50rshudyAuMmw5O,"Night Skinny, Low-Red, Kid Yugi, Tony Boy, Papa V, Nerissima Serpe, Artie 5ive, Astro","Players Club '24 (feat. Low-Red, Tony Boy, Papa V, Nerissima Serpe, Artie 5ive, Kid Yugi, Astro)",Universal Music Italia srL.,46,102,3,429123,1,Italy
140,141,spotify:track:50okpBf3MvXr4FyWB6jJIK,Bresh,Torcida,Epic,12,124,35,424493,1,Italy
141,142,spotify:track:1j7NJW5M4YLFbXFa8kFBaS,Marracash,MI SONO INNAMORATO DI UN AI,Universal Music Italia srL.,15,94,4,424040,1,Italy
142,143,spotify:track:2YdOZTN2ElEYhEuq6zmwT8,Gazzelle,Non sei tu,Maciste Dischi,141,195,43,422037,1,Italy
143,144,spotify:track:62ZLW8EAtHRXAEsCCgVaVV,LIBERATO,TURNÀ,LIBERATO,144,-1,1,417282,1,Italy
144,145,spotify:track:5Gup6xk94HJp2bYANhJsoS,"Geolier, Yung Snapp, Murad",500K,Warner Music,18,170,7,415586,1,Italy
145,146,spotify:track:1LcAwUvsiWJqTgV9vDs0oq,"Kid Yugi, Sfera Ebbasta, Shablo",Ex Angelo (feat. Sfera Ebbasta),Universal Music Italia srL.,10,166,41,415109,1,Italy
146,147,spotify:track:1yKRalWLlHie0zbKW3n6W0,Alfa,vai!,Artist First,9,110,39,414752,1,Italy
147,148,spotify:track:1N7cE9RdKR5FRkB9cxsjH4,"Low-Red, Yung Snapp",BISEX (feat. Yung Snapp),Universal Music Italia srL.,148,174,2,412535,1,Italy
148,149,spotify:track:3xkHsmpQCBMytMJNiDf3Ii,Benson Boone,Beautiful Things,"Night Street Records, Inc./Warner Records Inc.",19,90,50,409274,1,Italy
149,150,spotify:track:7uu3YZytpYW15VIfa7ynJk,"Marracash, Federica Abbate",Niente Canzoni D'Amore - Inedito,Universal Music Italia srL.,137,191,23,407987,1,Italy
150,151,spotify:track:40L4vT3sk7YxFaWLItE3df,Marracash,HAPPY END,Universal Music Italia srL.,19,113,4,407715,1,Italy
