rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5pNm9cYzWaAtoihxILG3cw","Olly, Juli","Balorda nostalgia","Epic",1,1,5,"4929532"
2,"spotify:track:5tOBPD3zL9kWpeELqkzwJC","Giorgia","LA CURA PER ME","Epic",2,3,5,"3372170"
3,"spotify:track:6bfy5e5jWNcNSFAJzsMPED","Fedez","BATTITO","Warner Music",2,2,5,"3257513"
4,"spotify:track:25VdEndwyUDs0DbpfCMfKD","Achille Lauro","Incoscienti Giovani","Warner Music",4,4,5,"3163991"
5,"spotify:track:5sFbAYktReH4AJbATsGAw8","Lucio Corsi","Volevo essere un duro","Universal Music Italia srL. (Sugar)",3,5,5,"2581805"
6,"spotify:track:2C46EwfXY2ijlt7BfBY5mi","Rose Villain","fuorilegge","Warner Music",6,7,5,"2462087"
7,"spotify:track:177cKZBT80QEPlrSS4nLw9","Shablo, Guè, Joshua, Tormento","La Mia Parola (feat. Guè, Joshua, Tormento)","Universal Music Italia srL.",6,6,5,"2406505"
8,"spotify:track:4RTMLSmkfK9kqKlmTPGRzo","Bresh","La tana del granchio","Epic",6,8,5,"2231310"
9,"spotify:track:0fPhrbZJqHbmsuV2RQbeSB","Coma_Cose","CUORICINI","Warner Music",9,9,5,"2117172"
10,"spotify:track:2BptnzpcLO9NAdNdKh2rZy","Rkomi","il ritmo delle cose.","Universal Music Italia srL.",10,10,5,"1918674"
11,"spotify:track:06ZV0oxrmuVf6rThhGtxxy","The Kolors","TU CON CHI FAI L'AMORE","Warner Music",11,12,5,"1842516"
12,"spotify:track:5M8Z823Sb2BhMpecHksN0T","Serena Brancale","ANEMA E CORE","Warner Music",11,11,5,"1836865"
13,"spotify:track:2hOVaWpnPpTdqvaRTvI9L5","Gaia","CHIAMO IO CHIAMI TU","Columbia",13,13,5,"1738979"
14,"spotify:track:5nFyfjGy6AMZqkW0OMUWJJ","Olly, Angelina Mango, Juli","Per due come noi","Epic",1,21,27,"1721960"
15,"spotify:track:4X4R6qsIicxIQIFbnDcJLO","Olly, Juli","Scarabocchi","Epic",4,16,20,"1586843"
16,"spotify:track:2L16IuIQgLL1HupWGN4F4t","Cesare Cremonini","Ora che non ho più te","Universal Music Italia srL.",1,22,25,"1563940"
17,"spotify:track:6MlIhakM4I7fZa2iLpijrr","Noemi","Se t'innamori muori","Columbia",16,18,5,"1512193"
18,"spotify:track:234fOFiPU3zFTgkPNg5nX5","Irama","Lentamente","Warner Music",14,15,5,"1455067"
19,"spotify:track:5bArDgxe1cvT6GPTz9x07Y","Brunori Sas","L'albero delle noci","Universal Music Italia srL.",12,14,5,"1448126"
20,"spotify:track:5MJc4IVIt17xEt6angtZcq","Lazza","BUIO DAVANTI","Universal Music Italia srL.",3,26,25,"1422059"
21,"spotify:track:2WiYCsnOxE29r8Y8gV9aVA","Sarah Toscano","Amarcord","Warner Music",17,17,5,"1415494"
22,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,24,9,"1379181"
23,"spotify:track:3W1xZMEfi44Wxts9HMBJJS","Elodie","Dimenticarsi alle 7","Universal Music Italia srL.",11,19,5,"1355546"
24,"spotify:track:1ej2NcW0CHnscPp1RZpr1V","Olly, Juli","Devastante","Epic",9,23,53,"1355351"
25,"spotify:track:420QMNPnHsbAqkkxBt2ifJ","RRARI DAL TACCO, Kid Yugi","BIANCA (feat. Kid Yugi)","Universal Music Italia srL.",1,28,7,"1291924"
26,"spotify:track:3hjG2x6wWyJ84ue7GESTVR","Tony Effe","DAMME 'NA MANO","Universal Music Italia srL.",3,20,5,"1282801"
27,"spotify:track:6cGhVnQAJRxGVsltCU06vF","Guè","Vibe","Universal Music Italia srL.",4,27,9,"1248503"
28,"spotify:track:41lOxc6ARYZPXpKeMWcHsD","Pinguini Tattici Nucleari","Islanda","Epic",1,35,17,"1206393"
29,"spotify:track:2gI2IA7QGtzKZKuahon3W1","Achille Lauro","Amore Disperato","Warner Music",5,30,25,"1166775"
30,"spotify:track:4GkgNC3bpLqXyuxWvlNfKI","Guè, Rose Villain","Oh Mamma Mia (feat. Rose Villain)","Universal Music Italia srL.",2,48,9,"1150203"
31,"spotify:track:1QcmAp6Ev2HuYxKujUwnw0","Alfa","il filo rosso","Artist First",2,31,21,"1102234"
32,"spotify:track:75Y6WgUldQN8mipAVLy8KJ","Olly, Juli","Quei ricordi là","Epic",15,29,20,"1068062"
33,"spotify:track:4MtjrbmBKdYRMTyEHqOUmM","Marracash","GLI SBANDATI HANNO PERSO","Universal Music Italia srL.",2,34,13,"1056617"
34,"spotify:track:5stOy3oDM1OahBHWHHBOF4","Willie Peyote","Grazie ma no grazie","Universal Music Italia srL.",15,25,5,"1024278"
35,"spotify:track:5pYy054Wcuj9CFdDIxZSVU","Olly, Juli","Menomale che c'è il mare","Epic",35,38,29,"1022080"
36,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,43,10,"962452"
37,"spotify:track:3BJ5P3bL0Q8OUemXVwjucQ","Rocco Hunt","MILLE VOTE ANCORA","Epic",24,33,5,"957307"
38,"spotify:track:0h3w9Sr1gToqxA9gIs5O39","Gabry Ponte","Tutta L'Italia","Warner Music",38,44,4,"956980"
39,"spotify:track:1CGqE43Inhm54oPCMrgF7S","SETTEMBRE","VERTEBRE","Isola degli Artisti",22,32,15,"948909"
40,"spotify:track:3w73qvCSGWPCx7w1UMIh6e","Capo Plaza","Lo So Che","Warner Music",34,45,16,"947466"
41,"spotify:track:2DkiFEQ1ihXcYKaIRsfGFp","Marracash","LEI","Universal Music Italia srL.",1,40,13,"906573"
42,"spotify:track:00URgxWgyVoybGLhhmKr7g","Baby Gang, Omega, Higashi, Roberto Ferrante","Tu Me Quieres - Prod. by Higashi x Roberto Ferrante","Baby Gang / Planet Records [Powered by Planet Distribution]",10,46,26,"889071"
43,"spotify:track:7nRFsITVaSHko2Fw2Gcy59","Gazzelle","Destri","Artist First / Maciste Dischi",2,56,233,"877000"
44,"spotify:track:5niBKNtMNJTSPLTCBTc3wr","Jovanotti","Un mondo a parte","Universal Music Italia srL.",44,68,4,"859438"
45,"spotify:track:1nLGeFQuY7PFxrou3ezEvP","Sal Da Vinci","Rossetto e caffè","Cose Production srl",10,49,35,"852672"
46,"spotify:track:5IYSfCt4m9WX4LKNRl2ia9","Joan Thiele","Eco","RCA Numero Uno",31,37,5,"842469"
47,"spotify:track:2qgKFtVm0Ls6WC72sm9ELe","Fedez, Marco Masini, FT Kings","BELLA STRONZA","Warner Music",26,36,4,"833014"
48,"spotify:track:2UcDX4rO9NITHO9ted6KUL","Modà","Non ti dimentico","Warner Music",26,39,5,"823930"
49,"spotify:track:2no1HLYjXuCpr4Gf4XVhXg","CLARA","FEBBRE","Warner Music",28,41,5,"819664"
50,"spotify:track:1musbempyJAw5gfSKZHXP9","Doechii","Anxiety","Top Dawg Entertainment/Capitol Records",50,-1,1,"791504"
51,"spotify:track:1RZQfURtYA7RYzontyWTI5","Guè, Artie 5ive","Akrapovič (feat. Artie 5ive)","Universal Music Italia srL.",4,58,9,"784020"
52,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",20,59,30,"771326"
53,"spotify:track:3fbwo3003OZitzByA6ppPP","Francesco Gabbani","Viva la vita","BMG Rights Management Italy S.R.L.",30,42,5,"762189"
54,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",5,52,37,"760633"
55,"spotify:track:2LHNTC9QZxsL3nWpt8iaSR","Lady Gaga","Abracadabra","Interscope Records",33,69,6,"758029"
56,"spotify:track:7LjhTVncMxoH9X6KMWECgq","Papa V, Nerissima Serpe, Shiva, Night Skinny, Fritu","Wop Wop (feat. Shiva)","UNIKAL",2,51,8,"746985"
57,"spotify:track:5wxGfq3mQTlvYpON9F2wSu","SLF, MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza","PEZZI DA NOVANTA (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza)","Warner Music",29,54,7,"735821"
58,"spotify:track:62UEDjQEgBx7GDKDiSoz3i","Tananai","BOOSTER","Universal Music Italia srL.",44,55,18,"731198"
59,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",12,53,21,"719717"
60,"spotify:track:6Ajvu1afirjocbZK934qqh","Simba La Rue, Tony Boy, FT Kings","AYAHUASCA (feat. Tony Boy)","Warner Music",1,63,10,"700808"
61,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",23,64,18,"694551"
62,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",23,57,9,"694072"
63,"spotify:track:62OO2X47vPk5WxTx68HDqg","Artie 5ive, Niky Savage","BAMBOLA (feat. Niky Savage)","Warner Music",2,50,13,"690576"
64,"spotify:track:7BeZyW4hVjeCocSLwDrCME","Geolier, Michelangelo","I P’ ME, TU P’ TE","Warner Music",1,62,58,"688108"
65,"spotify:track:7Co4JFHHRVoAf9lCx37aGx","Francesca Michielin","Fango in Paradiso","Columbia",25,47,5,"683727"
66,"spotify:track:2z9FUHRkbkV4BObNzbHsFU","Damiano David","Born With a Broken Heart","Sony Music Italy / Arista Records",31,60,20,"675508"
67,"spotify:track:5eSC7faDYHxnklPjcxZjD6","Marracash","BRAVI A CADERE - I polmoni","Universal Music Italia srL.",8,66,100,"634095"
68,"spotify:track:4ySxBjhmdnkeFUqhKxW3cY","Sfera Ebbasta","Visiera A Becco","Universal Music Italia srL.",43,71,214,"622660"
69,"spotify:track:3FjK86616FbluOfTxNK2gY","Sleepy Hallow, Doechii","ANXIETY (feat. Doechii)","Winners Circle/RCA Records",69,133,2,"613862"
70,"spotify:track:3EJSUFQGUaTm4Km2Zri1Zp","Juli, Emma, Olly","HO VOGLIA DI TE","Universal Music Italia srL.",15,67,39,"613642"
71,"spotify:track:69VAE3LA7jn5rGAsdflMOS","Geolier, Poison Beatz","EL PIBE DE ORO","Warner Music",5,84,44,"600688"
72,"spotify:track:3qtuOAI0YyfoBM1s7Tvm46","Cesare Cremonini","La Nuova Stella Di Broadway","Universal Music Italia srL.",68,75,94,"596323"
73,"spotify:track:3XOcMFFT6Oo2ZCXLJ9lqdT","Geolier, Rose Villain, Poison Beatz","TU ED IO (feat. Rose Villain)","Warner Music",8,78,16,"596044"
74,"spotify:track:0CCWIksRK4Q3um834dNG3a","Pinguini Tattici Nucleari","Romantico Ma Muori","Epic",7,85,26,"595939"
75,"spotify:track:7sj9VfVtmcEZBDbRAsVXWY","ANNA, Niky Savage","TT LE GIRLZ (feat. Niky Savage)","Universal Music Italia srL.",1,73,37,"594590"
76,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",51,82,10,"584656"
77,"spotify:track:2oDlAuhJExJd7papr3cyBF","Capo Plaza","Sottovuoto","Warner Music",10,90,14,"572696"
78,"spotify:track:42wdz3j7gstgUuhoFLCXqd","FloyyMenor","PELIGROSA","FloyyMenor under exclusive license to UnitedMasters LLC",41,76,29,"572316"
79,"spotify:track:7kktKNHgINrBczPUGoG38p","Sfera Ebbasta","Bang Bang","Universal Music Italia srL.",57,80,139,"565485"
80,"spotify:track:1u9C89v58yfZkMgFe7rBS1","Papa V, Nerissima Serpe, Fritu","Tip Tap","UNIKAL",3,81,15,"557877"
81,"spotify:track:2esZG2XFtuoWWA9AfDvSxy","FloyyMenor, Cris Mj","Gata Only","FloyyMenor under exclusive license to UnitedMasters LLC",2,92,53,"555255"
82,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",50,70,19,"552465"
83,"spotify:track:7fH13hSOyNoeiDGbjEnTUC","Guè, Marracash","Brivido","Universal Music Italia srL.",67,97,260,"551756"
84,"spotify:track:6uFaYYmb5ngSlqLNxsBMzs","Simba La Rue, FT Kings","CAZZI MIEI","Warner Music",20,86,6,"549460"
85,"spotify:track:6RJW9DiBr1RDjgT4GdCSp7","Geolier, Dat Boi Dee, ROOM9","FERRARI (from ""Uonderbois"")","Warner Music",85,112,11,"548836"
86,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",21,79,9,"542381"
87,"spotify:track:4z9xPVz2Sii4dhM7yhxOpj","Geolier, Sfera Ebbasta, Dardust","IO T’O GIUR’ (feat. Sfera Ebbasta)","Warner Music",7,83,39,"542003"
88,"spotify:track:5EeDZPNPIjEtEZsHMkX1m7","Kid Yugi","Donna","Universal Music Italia srL.",3,104,20,"539658"
89,"spotify:track:2l4NKSQbBA3sV0nxpNjSkj","Lazza","100 MESSAGGI","Universal Music Italia srL.",1,88,55,"536886"
90,"spotify:track:4ZRVI6xwgbjgW5SgJB468n","ANNA, Artie 5ive","I LOVE IT (feat. Artie 5ive)","Universal Music Italia srL.",3,91,37,"534799"
91,"spotify:track:30yZdVYOfemHG7uuntz7HH","ANNA","TONIGHT","Universal Music Italia srL.",30,89,37,"530548"
92,"spotify:track:19DHPlTC2gx1j4jrFzNbwL","ANNA","30ºC","Universal Music Italia srL.",1,93,41,"529218"
93,"spotify:track:6xZCDUaY4XzlhCSHKSW7rf","Damiano David","Next Summer","Sony Music Italy / Arista Records",93,94,2,"524607"
94,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",19,105,57,"520380"
95,"spotify:track:0tNVbYUSaIAueDcwd2Pobz","Simone Cristicchi","Quando sarai piccola","Dueffel Music",20,61,5,"519711"
96,"spotify:track:0xEgDBXYO9gGzmxCFWKxNg","Marracash","CRUDELIA - I nervi","Universal Music Italia srL.",2,99,269,"517848"
97,"spotify:track:3yFgWoossjlaJ919XDCG4C","Simba La Rue, FT Kings, Sick Luke","MI PIACCIONO LE ARMI","Warner Music",1,102,21,"512526"
98,"spotify:track:5IVog5NE9Ccw4cLrOqXSUG","Paky, Simba La Rue","Gangsta Shit (feat. Simba La Rue)","Warner Music",10,98,8,"510802"
99,"spotify:track:2kZV7d0A4BIN5I8iFBnbqp","Achille Lauro, Gow Tribe","16 Marzo (feat. Gow Tribe)","Elektra/WM Italy",28,139,40,"509331"
100,"spotify:track:5p319BfcZtPd7Y8FOGB3yH","Gazzelle","Grattacieli meteoriti gli angeli","Warner Music",24,95,7,"507949"
101,"spotify:track:3pR6j5Zhl7Qbrv4lh3DTG5","Tony Effe, Gaia","SESSO E SAMBA (feat. Gaia)","Universal Music Italia srL.",1,101,42,"499272"
102,"spotify:track:5EPfp1edrw1vgxriqxLTlD","RRARI DAL TACCO","CAFFÈ AMARO","Universal Music Italia srL.",36,100,14,"495115"
103,"spotify:track:1IkzT4wzFJRbFOmKOSqTen","Geolier, Takagi & Ketra, Dat Boi Dee","EPISODIO D'AMORE","Warner Music",7,87,40,"493033"
104,"spotify:track:6MQYhSIrh9vwztmM6mwkzQ","Kid Yugi, Night Skinny, Artie 5ive","Porto il Commerciale (feat. Artie 5ive)","Universal Music Italia srL.",35,106,49,"491686"
105,"spotify:track:6YB8rH5Lr340A4ps8eV7hw","Kid Yugi","Lilith","Universal Music Italia srL.",8,111,54,"489358"
106,"spotify:track:05wb6MEyJeG2z1MVCIXxC8","Sfera Ebbasta, Marracash","15 Piani","Universal Music Italia srL.",1,118,69,"485863"
107,"spotify:track:5omIW7YOPhA6CULhkdz6jE","Tedua, Baby Gang, Kid Yugi","Paradiso Artificiale (feat. Baby Gang & Kid Yugi)","Epic",2,121,93,"485052"
108,"spotify:track:07qo9gnLM488CUr0EtgIA1","Cesare Cremonini","Poetica","Universal Music Italia srL.",15,123,65,"482501"
109,"spotify:track:3OewdIjWctx4TH6jswXRrc","Pinguini Tattici Nucleari","Amaro","Epic",11,77,14,"478657"
110,"spotify:track:7jfthjlyognNdV2geSbtsE","Capo Plaza","Borse Hermès","Warner Music",46,108,20,"476589"
111,"spotify:track:0MLu1cFYL4ikdRTdasCQT9","Shablo, Geolier, Sfera Ebbasta","M' Manc (con Geolier & Sfera Ebbasta)","Universal Music Italia srL.",1,148,197,"474565"
112,"spotify:track:1GVDt0vn0wJ1QemPfMEWTU","Ghali","Niente Panico","Warner Music",16,96,22,"472621"
113,"spotify:track:2toyDDWentmjZTyojLVXfP","Olly, Juli","I cantieri del Giappone","Epic",69,103,12,"471692"
114,"spotify:track:29nqe5lhK8JmNcVXum7UuA","Kid Yugi, Tedua, Junior K","Eva (feat. Tedua)","Universal Music Italia srL.",3,140,54,"471396"
115,"spotify:track:1j58NLQYaQsLW1eYppRI02","Lucio Corsi","Tu sei il mattino","Universal Music Italia srL. (Sugar)",44,72,4,"469679"
116,"spotify:track:5fBhangmT51wT6SARWf8FJ","Olly, Juli","A squarciagola","Epic",76,109,9,"468255"
117,"spotify:track:4M1YXSjzb3HHndhd9dUVSF","Le-one, Christian Liguori","PARENTE","Epic",67,113,7,"466104"
118,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",32,117,38,"464896"
119,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",39,115,43,"464147"
120,"spotify:track:3cGuiySfwJPXqvE15OiEEg","Sfera Ebbasta","Tran Tran","Universal Music Italia srL.",1,127,175,"462409"
121,"spotify:track:50uGP4Bs22S1iPNn1hTo3R","Papa V, Nerissima Serpe, Fritu","A Lei","UNIKAL",11,116,8,"460495"
122,"spotify:track:11vx0NpOW2FonkLKg2ylLU","Olly, Juli","Bianca","Epic",80,114,6,"458515"
123,"spotify:track:0M6Rh4nTaxVJefzV9IAVFq","Guè, Stadio","Meravigliosa (feat. Stadio)","Universal Music Italia srL.",6,119,9,"457029"
124,"spotify:track:6bN41HjY008ggroMFxNLaa","Sfera Ebbasta, Geolier, Simba La Rue, Baby Gang","Calcolatrici","Universal Music Italia srL.",1,129,69,"456433"
125,"spotify:track:2ceJa7d62wQ3eRBK589ALG","Shiva, Kid Yugi","Gotham (feat. Kid Yugi)","Milano Ovest",2,132,27,"456257"
126,"spotify:track:7tI8dRuH2Yc6RuoTjxo4dU","Jimin","Who","BIGHIT MUSIC",92,125,33,"455167"
127,"spotify:track:1aT87zstUEwwv62feXL6Gi","Marcella Bella","Pelle diamante","BMG Rights Management Italy S.R.L.",35,74,5,"454284"
128,"spotify:track:0HiHVL8iC1Z1kAjV6vZdIo","Tony Boy, Frah Quintale, Capo Plaza","Non mi basta mai (feat. Frah Quintale, Capo Plaza)","Warner Music",13,122,14,"450894"
129,"spotify:track:5WssaPhjCCUFBMk9PpnHYj","Sfera Ebbasta, Elodie","Anche Stasera","Universal Music Italia srL.",5,146,65,"449378"
130,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",130,-1,1,"446193"
131,"spotify:track:1LcAwUvsiWJqTgV9vDs0oq","Kid Yugi, Sfera Ebbasta, Shablo","Ex Angelo (feat. Sfera Ebbasta)","Universal Music Italia srL.",10,145,49,"445742"
132,"spotify:track:0lXVWzLwDnKB7Ro5p0AJPg","Rose Villain, Guè","COME UN TUONO (feat. Guè)","Warner Music",1,126,53,"443461"
133,"spotify:track:2Om8fOpJjFtSn7MGdj3aen","Elisa","Dillo Solo Al Buio","Universal Music Italia srL.",89,128,9,"443203"
134,"spotify:track:2vAzyP21f777MdZNcyt6yt","Fedez, Noemi","L'amore eternit","Newtopia",84,134,9,"437559"
135,"spotify:track:3X5Zw8zkIGULZEnJUwwJwj","Glocky","Problem Solver","Square",77,143,11,"435953"
