rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5pNm9cYzWaAtoihxILG3cw","Olly, Juli","Balorda nostalgia","Epic",1,1,2,"15436503"
2,"spotify:track:6bfy5e5jWNcNSFAJzsMPED","Fedez","BATTITO","Warner Music",2,2,2,"10488601"
3,"spotify:track:5sFbAYktReH4AJbATsGAw8","Lucio Corsi","Volevo essere un duro","Universal Music Italia srL. (Sugar)",3,21,2,"8868276"
4,"spotify:track:25VdEndwyUDs0DbpfCMfKD","Achille Lauro","Incoscienti Giovani","Warner Music",4,6,2,"8197676"
5,"spotify:track:5tOBPD3zL9kWpeELqkzwJC","Giorgia","LA CURA PER ME","Epic",5,5,2,"8044432"
6,"spotify:track:4RTMLSmkfK9kqKlmTPGRzo","Bresh","La tana del granchio","Epic",6,10,2,"6579958"
7,"spotify:track:2C46EwfXY2ijlt7BfBY5mi","Rose Villain","fuorilegge","Warner Music",7,8,2,"6334936"
8,"spotify:track:177cKZBT80QEPlrSS4nLw9","Shablo, Guè, Joshua, Tormento","La Mia Parola (feat. Guè, Joshua, Tormento)","Universal Music Italia srL.",8,14,2,"6166132"
9,"spotify:track:0A9FAzeaUEMHB68FPk3GYc","Coma_Cose","CUORICINI","Warner Music",9,19,2,"5926555"
10,"spotify:track:3hjG2x6wWyJ84ue7GESTVR","Tony Effe","DAMME 'NA MANO","Universal Music Italia srL.",3,3,2,"5612135"
11,"spotify:track:3W1xZMEfi44Wxts9HMBJJS","Elodie","Dimenticarsi alle 7","Universal Music Italia srL.",11,11,2,"5335321"
12,"spotify:track:2BptnzpcLO9NAdNdKh2rZy","Rkomi","il ritmo delle cose.","Universal Music Italia srL.",12,25,2,"5122882"
13,"spotify:track:5bArDgxe1cvT6GPTz9x07Y","Brunori Sas","L'albero delle noci","Universal Music Italia srL.",13,20,2,"4473677"
14,"spotify:track:234fOFiPU3zFTgkPNg5nX5","Irama","Lentamente","Warner Music",14,17,2,"4327333"
15,"spotify:track:5stOy3oDM1OahBHWHHBOF4","Willie Peyote","Grazie ma no grazie","Universal Music Italia srL.",15,34,2,"4007372"
16,"spotify:track:3AsxA8OP70vvXHhhR4zKoR","Noemi","Se t'innamori muori","Columbia",16,41,2,"3579016"
17,"spotify:track:2hOVaWpnPpTdqvaRTvI9L5","Gaia","CHIAMO IO CHIAMI TU","Columbia",17,22,2,"3503909"
18,"spotify:track:5M8Z823Sb2BhMpecHksN0T","Serena Brancale","ANEMA E CORE","Warner Music",18,54,2,"3400547"
19,"spotify:track:06ZV0oxrmuVf6rThhGtxxy","The Kolors","TU CON CHI FAI L'AMORE","Warner Music",19,39,2,"3268188"
