rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0ZmhDgy5eWjdLOQFEEe3bm","Olly, Juli","Balorda nostalgia","Epic",1,-1,1,"3842336"
2,"spotify:track:6bfy5e5jWNcNSFAJzsMPED","Fedez","BATTITO","Warner Music",2,-1,1,"3577373"
3,"spotify:track:3hjG2x6wWyJ84ue7GESTVR","Tony Effe","DAMME 'NA MANO","Universal Music Italia srL.",3,-1,1,"2668439"
4,"spotify:track:420QMNPnHsbAqkkxBt2ifJ","RRARI DAL TACCO, Kid Yugi","BIANCA (feat. Kid Yugi)","Universal Music Italia srL.",1,1,3,"2611061"
5,"spotify:track:5tOBPD3zL9kWpeELqkzwJC","Giorgia","LA CURA PER ME","Epic",5,-1,1,"2315082"
6,"spotify:track:25VdEndwyUDs0DbpfCMfKD","Achille Lauro","Incoscienti Giovani","Warner Music",6,-1,1,"2244025"
7,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,2,5,"2240853"
8,"spotify:track:2C46EwfXY2ijlt7BfBY5mi","Rose Villain","fuorilegge","Warner Music",8,-1,1,"2216392"
9,"spotify:track:5MJc4IVIt17xEt6angtZcq","Lazza","BUIO DAVANTI","Universal Music Italia srL.",3,3,21,"2015156"
10,"spotify:track:4RTMLSmkfK9kqKlmTPGRzo","Bresh","La tana del granchio","Epic",10,-1,1,"2009486"
11,"spotify:track:3W1xZMEfi44Wxts9HMBJJS","Elodie","Dimenticarsi alle 7","Universal Music Italia srL.",11,-1,1,"1980221"
12,"spotify:track:4X4R6qsIicxIQIFbnDcJLO","Olly, Juli","Scarabocchi","Epic",4,6,16,"1958232"
13,"spotify:track:6cGhVnQAJRxGVsltCU06vF","Guè","Vibe","Universal Music Italia srL.",4,4,5,"1911164"
14,"spotify:track:177cKZBT80QEPlrSS4nLw9","Shablo, Guè, Joshua, Tormento","La Mia Parola (feat. Guè, Joshua, Tormento)","Universal Music Italia srL.",14,-1,1,"1853046"
15,"spotify:track:2L16IuIQgLL1HupWGN4F4t","Cesare Cremonini","Ora che non ho più te","Universal Music Italia srL.",1,7,21,"1827240"
16,"spotify:track:41lOxc6ARYZPXpKeMWcHsD","Pinguini Tattici Nucleari","Islanda","Epic",1,5,13,"1823448"
17,"spotify:track:234fOFiPU3zFTgkPNg5nX5","Irama","Lentamente","Warner Music",17,-1,1,"1684475"
18,"spotify:track:5nFyfjGy6AMZqkW0OMUWJJ","Olly, Angelina Mango, Juli","Per due come noi","Epic",1,12,23,"1657420"
19,"spotify:track:0A9FAzeaUEMHB68FPk3GYc","Coma_Cose","CUORICINI","Warner Music",19,-1,1,"1590733"
20,"spotify:track:4aHMoqPDJA6Rpa0MjyV1hT","Brunori Sas","L'albero delle noci","Universal Music Italia srL.",20,-1,1,"1577401"
21,"spotify:track:5sFbAYktReH4AJbATsGAw8","Lucio Corsi","Volevo essere un duro","Universal Music Italia srL. (Sugar)",21,-1,1,"1507508"
22,"spotify:track:2hOVaWpnPpTdqvaRTvI9L5","Gaia","CHIAMO IO CHIAMI TU","Columbia",22,-1,1,"1480343"
23,"spotify:track:62OO2X47vPk5WxTx68HDqg","Artie 5ive, Niky Savage","BAMBOLA (feat. Niky Savage)","Warner Music",2,11,9,"1473335"
24,"spotify:track:1QcmAp6Ev2HuYxKujUwnw0","Alfa","il filo rosso","Artist First",2,10,17,"1461702"
25,"spotify:track:2BptnzpcLO9NAdNdKh2rZy","Rkomi","il ritmo delle cose.","Universal Music Italia srL.",25,-1,1,"1452926"
26,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,9,6,"1446649"
27,"spotify:track:7Co4JFHHRVoAf9lCx37aGx","Francesca Michielin","Fango in Paradiso","Columbia",27,-1,1,"1411658"
28,"spotify:track:1ej2NcW0CHnscPp1RZpr1V","Olly, Juli","Devastante","Epic",9,23,49,"1406627"
29,"spotify:track:5wxGfq3mQTlvYpON9F2wSu","SLF, MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza","PEZZI DA NOVANTA (feat. MV Killa, Yung Snapp, Lele Blade, Vale Lambo, Frezza)","Warner Music",29,29,3,"1405481"
30,"spotify:track:4MtjrbmBKdYRMTyEHqOUmM","Marracash","GLI SBANDATI HANNO PERSO","Universal Music Italia srL.",2,13,9,"1398360"
31,"spotify:track:4FUtbX8sWsAg0tpoD29MC6","Simone Cristicchi","Quando sarai piccola","Dueffel Music",31,-1,1,"1383562"
32,"spotify:track:7LjhTVncMxoH9X6KMWECgq","Papa V, Nerissima Serpe, Shiva, Night Skinny, Fritu","Wop Wop (feat. Shiva)","UNIKAL",2,8,4,"1376439"
33,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",33,76,2,"1288443"
34,"spotify:track:1GGWyB2OAmZjgcOm1TW2Vb","Willie Peyote","Grazie ma no grazie","Universal Music Italia srL.",34,-1,1,"1277090"
35,"spotify:track:2DkiFEQ1ihXcYKaIRsfGFp","Marracash","LEI","Universal Music Italia srL.",1,17,9,"1256458"
36,"spotify:track:00URgxWgyVoybGLhhmKr7g","Baby Gang, Omega, Higashi, Roberto Ferrante","Tu Me Quieres - Prod. by Higashi x Roberto Ferrante","Baby Gang / Planet Records [Powered by Planet Distribution]",10,15,22,"1233700"
37,"spotify:track:2no1HLYjXuCpr4Gf4XVhXg","CLARA","FEBBRE","Warner Music",37,-1,1,"1219793"
38,"spotify:track:2gI2IA7QGtzKZKuahon3W1","Achille Lauro","Amore Disperato","Warner Music",5,26,21,"1202584"
39,"spotify:track:06ZV0oxrmuVf6rThhGtxxy","The Kolors","TU CON CHI FAI L'AMORE","Warner Music",39,-1,1,"1175055"
40,"spotify:track:6uFaYYmb5ngSlqLNxsBMzs","Simba La Rue, FT Kings","CAZZI MIEI","Warner Music",20,20,2,"1171824"
41,"spotify:track:3AsxA8OP70vvXHhhR4zKoR","Noemi","Se t'innamori muori","Columbia",41,-1,1,"1168933"
42,"spotify:track:75Y6WgUldQN8mipAVLy8KJ","Olly, Juli","Quei ricordi là","Epic",15,32,16,"1150094"
43,"spotify:track:50uGP4Bs22S1iPNn1hTo3R","Papa V, Nerissima Serpe, Fritu","A Lei","UNIKAL",11,14,4,"1140357"
44,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",20,22,26,"1118846"
45,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",12,18,17,"1118828"
46,"spotify:track:1CGqE43Inhm54oPCMrgF7S","SETTEMBRE","VERTEBRE","Isola degli Artisti",46,-1,11,"1099604"
47,"spotify:track:4GkgNC3bpLqXyuxWvlNfKI","Guè, Rose Villain","Oh Mamma Mia (feat. Rose Villain)","Universal Music Italia srL.",2,25,5,"1083690"
48,"spotify:track:5IVog5NE9Ccw4cLrOqXSUG","Paky, Simba La Rue","Gangsta Shit (feat. Simba La Rue)","Warner Music",10,16,4,"1039287"
49,"spotify:track:3BJ5P3bL0Q8OUemXVwjucQ","Rocco Hunt","MILLE VOTE ANCORA","Epic",49,-1,1,"1020857"
50,"spotify:track:6Ajvu1afirjocbZK934qqh","Simba La Rue, Tony Boy, FT Kings","AYAHUASCA (feat. Tony Boy)","Warner Music",1,19,6,"1012681"
51,"spotify:track:3w73qvCSGWPCx7w1UMIh6e","Capo Plaza","Lo So Che","Warner Music",34,91,12,"1008788"
52,"spotify:track:2WiYCsnOxE29r8Y8gV9aVA","Sarah Toscano","Amarcord","Warner Music",52,-1,1,"989089"
53,"spotify:track:5z1XCZMzScqeqCe4iUh3WA","Tony Boy","Tutti i giorni","Warner Music",24,24,8,"970441"
54,"spotify:track:5M8Z823Sb2BhMpecHksN0T","Serena Brancale","ANEMA E CORE","Warner Music",54,-1,1,"969874"
55,"spotify:track:3ycj36w66i2rIGJli4Ruhi","Joan Thiele","Eco","RCA Numero Uno",55,-1,1,"955829"
56,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",50,-1,15,"955677"
57,"spotify:track:1u9C89v58yfZkMgFe7rBS1","Papa V, Nerissima Serpe, Fritu","Tip Tap","UNIKAL",3,27,11,"945079"
58,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",23,33,14,"944190"
59,"spotify:track:1RZQfURtYA7RYzontyWTI5","Guè, Artie 5ive","Akrapovič (feat. Artie 5ive)","Universal Music Italia srL.",4,35,5,"939109"
60,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",5,34,33,"938218"
61,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",23,30,5,"935052"
62,"spotify:track:3xZW8lrovQJj6xszgLSg1S","Modà","Non ti dimentico","Warner Music",62,-1,1,"926842"
63,"spotify:track:3cQy6pN38rw0wyUNhQ1Ax3","Francesco Gabbani","Viva la vita","BMG Rights Management Italy S.R.L.",63,-1,1,"907847"
64,"spotify:track:62UEDjQEgBx7GDKDiSoz3i","Tananai","BOOSTER","Universal Music Italia srL.",44,44,14,"891284"
65,"spotify:track:1IkzT4wzFJRbFOmKOSqTen","Geolier, Takagi & Ketra, Dat Boi Dee","EPISODIO D'AMORE","Warner Music",7,49,36,"870817"
66,"spotify:track:2z9FUHRkbkV4BObNzbHsFU","Damiano David","Born With a Broken Heart","Sony Music Italy / Arista Records",31,54,16,"840721"
