rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",1,1,3,"3300863"
2,"spotify:track:420QMNPnHsbAqkkxBt2ifJ","RRARI DAL TACCO, Kid Yugi","BIANCA (feat. Kid Yugi)","Universal Music Italia srL.",2,-1,1,"3062122"
3,"spotify:track:7LjhTVncMxoH9X6KMWECgq","Papa V, Nerissima Serpe, Shiva, Night Skinny, Fritu","Wop Wop (feat. Shiva)","UNIKAL",2,2,2,"2121728"
4,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",3,3,4,"2052600"
5,"spotify:track:6cGhVnQAJRxGVsltCU06vF","Guè","Vibe","Universal Music Italia srL.",5,10,3,"1896130"
6,"spotify:track:41lOxc6ARYZPXpKeMWcHsD","Pinguini Tattici Nucleari","Islanda","Epic",1,4,11,"1869449"
7,"spotify:track:2L16IuIQgLL1HupWGN4F4t","Cesare Cremonini","Ora che non ho più te","Universal Music Italia srL.",1,5,19,"1831200"
8,"spotify:track:5MJc4IVIt17xEt6angtZcq","Lazza","BUIO DAVANTI","Universal Music Italia srL.",8,12,19,"1816020"
9,"spotify:track:4X4R6qsIicxIQIFbnDcJLO","Olly, Juli","Scarabocchi","Epic",4,7,14,"1774906"
10,"spotify:track:5IVog5NE9Ccw4cLrOqXSUG","Paky, Simba La Rue","Gangsta Shit (feat. Simba La Rue)","Warner Music",10,13,2,"1671704"
11,"spotify:track:50uGP4Bs22S1iPNn1hTo3R","Papa V, Nerissima Serpe, Fritu","A Lei","UNIKAL",11,15,2,"1639366"
12,"spotify:track:2DkiFEQ1ihXcYKaIRsfGFp","Marracash","LEI","Universal Music Italia srL.",1,8,7,"1629601"
13,"spotify:track:00URgxWgyVoybGLhhmKr7g","Baby Gang, Omega, Higashi, Roberto Ferrante","Tu Me Quieres - Prod. by Higashi x Roberto Ferrante","Baby Gang / Planet Records [Powered by Planet Distribution]",10,14,20,"1608949"
14,"spotify:track:1QcmAp6Ev2HuYxKujUwnw0","Alfa","il filo rosso","Artist First",2,11,15,"1599110"
15,"spotify:track:6Ajvu1afirjocbZK934qqh","Simba La Rue, Tony Boy, FT Kings","AYAHUASCA (feat. Tony Boy)","Warner Music",1,6,4,"1529116"
16,"spotify:track:5nFyfjGy6AMZqkW0OMUWJJ","Olly, Angelina Mango, Juli","Per due come noi","Epic",1,17,21,"1529080"
17,"spotify:track:4MtjrbmBKdYRMTyEHqOUmM","Marracash","GLI SBANDATI HANNO PERSO","Universal Music Italia srL.",2,20,7,"1512490"
18,"spotify:track:62OO2X47vPk5WxTx68HDqg","Artie 5ive, Niky Savage","BAMBOLA (feat. Niky Savage)","Warner Music",2,16,7,"1397586"
19,"spotify:track:1u9C89v58yfZkMgFe7rBS1","Papa V, Nerissima Serpe, Fritu","Tip Tap","UNIKAL",3,9,9,"1389637"
20,"spotify:track:1RZQfURtYA7RYzontyWTI5","Guè, Artie 5ive","Akrapovič (feat. Artie 5ive)","Universal Music Italia srL.",4,19,3,"1318071"
21,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",12,22,15,"1308042"
22,"spotify:track:4GkgNC3bpLqXyuxWvlNfKI","Guè, Rose Villain","Oh Mamma Mia (feat. Rose Villain)","Universal Music Italia srL.",2,18,3,"1271213"
23,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",23,24,3,"1247325"
24,"spotify:track:5p319BfcZtPd7Y8FOGB3yH","Gazzelle","Grattacieli meteoriti gli angeli","Warner Music",24,-1,1,"1245463"
25,"spotify:track:6bzGrlf9EaFBGg9fC8Nd2H","Tony Boy, Glocky","Wet (feat. Glocky)","Warner Music",25,-1,1,"1215100"
26,"spotify:track:5z1XCZMzScqeqCe4iUh3WA","Tony Boy","Tutti i giorni","Warner Music",25,27,6,"1196120"
27,"spotify:track:1ej2NcW0CHnscPp1RZpr1V","Olly, Juli","Devastante","Epic",9,29,47,"1190476"
28,"spotify:track:2lTm559tuIvatlT1u0JYG2","Bad Bunny","BAILE INoLVIDABLE","Rimas Entertainment LLC.",21,21,3,"1168368"
29,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",20,26,24,"1149876"
30,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",23,31,12,"1138667"
31,"spotify:track:75Y6WgUldQN8mipAVLy8KJ","Olly, Juli","Quei ricordi là","Epic",15,25,14,"1107421"
32,"spotify:track:5mOazYGaNJnv1zxMyNH6Rc","Guè, chiello","Non Lo So (feat. chiello)","Universal Music Italia srL.",16,23,3,"1087786"
33,"spotify:track:3XOcMFFT6Oo2ZCXLJ9lqdT","Geolier, Rose Villain, Poison Beatz","TU ED IO (feat. Rose Villain)","Warner Music",8,28,10,"1069562"
34,"spotify:track:6WatFBLVB0x077xWeoVc2k","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",5,33,31,"1053962"
35,"spotify:track:2gI2IA7QGtzKZKuahon3W1","Achille Lauro","Amore Disperato","Warner Music",5,34,19,"1025621"
36,"spotify:track:13BIz3zYk4SZlSckndvDKF","Gazzelle","Noi no","Warner Music",36,122,4,"999411"
37,"spotify:track:1nLGeFQuY7PFxrou3ezEvP","Sal Da Vinci","Rossetto e caffè","Cose Production srl",10,38,29,"985061"
38,"spotify:track:1GVDt0vn0wJ1QemPfMEWTU","Ghali","Niente Panico","Warner Music",16,37,16,"969533"
39,"spotify:track:3yFgWoossjlaJ919XDCG4C","Simba La Rue, FT Kings, Sick Luke","MI PIACCIONO LE ARMI","Warner Music",1,36,15,"936563"
40,"spotify:track:0M6Rh4nTaxVJefzV9IAVFq","Guè, Stadio","Meravigliosa (feat. Stadio)","Universal Music Italia srL.",6,32,3,"935231"
41,"spotify:track:5EPfp1edrw1vgxriqxLTlD","RRARI DAL TACCO","CAFFÈ AMARO","Universal Music Italia srL.",36,47,8,"924279"
