rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1Oq4ei25SeGivbXLcCnz7z","Roxy Dekker","Casual","Warner Music Benelux",1,-1,1,"2292748"
2,"spotify:track:6u9MrPWzCXj0pQjuglCyqy","Roxy Dekker","Jouw Idee","Warner Music Benelux",2,-1,1,"1949838"
3,"spotify:track:62iG1lk8qtd26ldgzCdRh5","Roxy Dekker","Ga Dan!","Warner Music Benelux",1,3,8,"1725704"
4,"spotify:track:2zqqu4TbRW3yOI5wqdrgDL","Antoon","Beetje Van Mij","Atlantic Records Benelux",1,1,5,"1451082"
5,"spotify:track:2dUJ0xW4XC89CC6gD7mjwi","Roxy Dekker, Koen","1 Nacht","Warner Music Benelux",5,-1,1,"1445627"
6,"spotify:track:6qqrTXSdwiJaq8SO0X2lSe","Alex Warren","Ordinary","Atlantic Records",4,4,5,"1424900"
7,"spotify:track:0KfKG23F2eWsq3iJazXYvS","Roxy Dekker","Proost","Warner Music Benelux",7,-1,1,"1352873"
8,"spotify:track:2TXDgE4nZbwdbfAW7Tr6Ll","Roxy Dekker, Russo","Guilty Pleasure","Warner Music Benelux",8,-1,1,"1161072"
9,"spotify:track:0b9RNAzGtDRRMQS1cF9HXT","Claude","C'est La Vie","Cloud 9 Digital",2,2,2,"1147854"
10,"spotify:track:7so0lgd0zP2Sbgs2d7a1SZ","Lady Gaga, Bruno Mars","Die With A Smile","Interscope Records",1,5,30,"1106613"
11,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",3,6,21,"1033266"
12,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",4,9,14,"1018387"
13,"spotify:track:4x7j9ed3FRH6CHj27kiTQ3","Oimara","Wackelkontakt","stereopolrecords / ZEITGEIST for Virgin Records",7,7,4,"1017143"
14,"spotify:track:6MUfSTr5MKTgX9oziFxx8c","Roxy Dekker, Ronnie Flex","Gaan We Weg?","Warner Music Benelux",1,72,35,"984641"
15,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,10,21,"927325"
16,"spotify:track:6mkkFCI8p2eR7D5FOjfmzm","Noano, Emms","Waka","Universal Music, a division of Universal International Music BV",2,11,7,"888530"
17,"spotify:track:1lzzSzBejW6m8UN2PdRsDv","FLEMMING, Mart Hoogkamer","100%","8Ball Music / NRGY Music",14,14,3,"887689"
18,"spotify:track:4KCbrGjAVjAN6ZmvHtcDtX","Roxy Dekker","Over Datum","Warner Music Benelux",18,-1,1,"876020"
19,"spotify:track:67wewfYRTUs6OxfmgGfRho","Roxy Dekker","Sugardaddy","Warner Music Benelux",1,62,50,"869724"
20,"spotify:track:3HcIbVeDYLg8u2DiqM4zuT","Sven Versteeg, Likke Pêhp","Blikkendag","Dino Music",8,8,18,"827737"
21,"spotify:track:0vrKBjEBQAVn3sdhIXmpHE","Yves Berendse","Terug In De Tijd","Dino Music",1,12,43,"789178"
22,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",22,46,3,"786047"
23,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",5,13,26,"784664"
24,"spotify:track:03rS8yQDtIHaDuUewAbEe7","LUNA","Liefste","LASER [BNL]",18,18,2,"780423"
25,"spotify:track:1musbempyJAw5gfSKZHXP9","Doechii","Anxiety","Top Dawg Entertainment/Capitol Records",25,-1,1,"767639"
26,"spotify:track:3qbb77qMxI5v013fqfRUzc","Roxy Dekker","Satisfyer","Warner Music Benelux",4,82,70,"751326"
27,"spotify:track:74vBh0Da8FCjtvg8BpnbS2","Roxy Dekker","Industry Plant","Warner Music Benelux",1,194,24,"724168"
28,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",4,15,43,"700618"
29,"spotify:track:2VyvDGdcVY04cNYou9MFVX","PAWSA, The Adventures Of Stevie V","Dirty Cash (Money Talks)","Altra Moda Music",8,17,17,"674660"
30,"spotify:track:2LHNTC9QZxsL3nWpt8iaSR","Lady Gaga","Abracadabra","Interscope Records",14,23,6,"659729"
31,"spotify:track:2K7HqkHEUfz7c4BzEO33Qd","Yves Berendse, Emma Heesters","Alleen Met Jou","Dino Music",7,16,24,"641857"
32,"spotify:track:5D50iIozof7VABnwls2H13","Zoë Tauran, Idaly","Voorzichtig","Universal Music, a division of Universal International Music BV",22,22,4,"630170"
33,"spotify:track:0GYx8Q9iS05CRe9kyzwAIL","CYRIL, maryjo","Still Into You","Spinnin' Records",17,20,10,"625874"
34,"spotify:track:4il87YHqSV9UqbBkXM7z7m","Tate McRae","Sports car","RCA Records Label",19,26,7,"581296"
35,"spotify:track:5L5wa7XXoPrleRSuwBiHHR","Chavanté, Qlas, kans, Oykie","The Baddest","Top Notch Music BV",32,32,3,"578227"
36,"spotify:track:3FjK86616FbluOfTxNK2gY","Sleepy Hallow, Doechii","ANXIETY (feat. Doechii)","Winners Circle/RCA Records",21,21,3,"568082"
37,"spotify:track:6GOOcBV0wLoHrH5D9AWA32","Morgan Seatree, Florence + The Machine","Say My Name - Remix","Positiva",28,28,6,"562678"
38,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",8,19,30,"557508"
39,"spotify:track:1nzVNvN2bLkN8AMjfTxvTT","Suzan & Freek","Ken Je Dat Gevoel","Sony Music Entertainment",16,31,9,"549102"
40,"spotify:track:0omaeI4JjN2g5vHBCZHqUJ","Roxy Dekker","Anne-Fleur Vakantie","Warner Music Benelux",14,-1,49,"539447"
41,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",11,24,28,"527954"
42,"spotify:track:2AeMy7dwvoPuof6xDmncUP","Turfy Gang, Russo","Ushuaia","BOOMIN' RECORDS",1,42,27,"525211"
43,"spotify:track:5nPbKG04fhLkIAjcPFaZq7","HUGEL, Topic, Arash, Daecolm","I Adore You (feat. Daecolm)","Virgin",17,38,33,"512766"
44,"spotify:track:52dEZA0A4siRTuA4e8w3ll","Martin Garrix, Jex","Told You So","Virgin",27,41,16,"510784"
45,"spotify:track:2QwAzwjpruvSZ83t7wlZVD","Martin Morero","Spijt Is Voor Later","Dino Music",3,27,13,"507248"
46,"spotify:track:0ydx75YiFzLjjQknKFNFwt","Alex Warren","Burning Down","Atlantic Records",32,43,24,"507002"
47,"spotify:track:6eWAWHm0cuOaPGDWhoLJ7s","Myles Smith","Nice To Meet You","RCA Records Label",25,37,18,"500799"
48,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",3,30,82,"489599"
49,"spotify:track:4xTjO1NgHBEbINFUQ9Kgao","Robert van Hemert","Zoet, Zout, Zuur","Cornelis Music",4,29,59,"477449"
50,"spotify:track:5o0osRx8kYJTOqlOSggr9Z","Alex Warren","Carry You Home","Atlantic Records",12,44,41,"471364"
51,"spotify:track:1sqe31TzOsjCeex1INgmsq","Donnie, Marco Schuitmaker","Hier Mag Alles","8ball Music / Maradonnie / Dino Music",4,25,68,"459088"
52,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",2,39,60,"455791"
53,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",4,36,29,"445905"
54,"spotify:track:209ome2hTUS6eGbnlldYNU","Joshua Robbie, Lange Frans","I Surrender - Remix","Lange Frans B.V.",14,40,11,"429098"
55,"spotify:track:7GWU6dQFjYF5YpsAUwZfGq","Racoon","Oceaan","Sony Music Entertainment",25,47,354,"422060"
56,"spotify:track:541sN2qNfIlllGn9nGOQoC","Tate McRae","Revolving door","RCA Records Label",23,33,3,"415024"
57,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",4,48,48,"406064"
58,"spotify:track:2usgKLp2V6HTqOXh9rlETr","Kevin, Idaly","SOS","Animal Stories / Noah’s Ark BV",9,34,14,"405255"
59,"spotify:track:2A1aS3mwuGuX2yk1bgxOvA","BL3SS, CamrinWatsin, bbyclose","Kisses (feat. bbyclose)","Atlantic Records UK",13,50,32,"404173"
60,"spotify:track:7cD21ITGK5fz7PxAHeSWgZ","Claude, Zoë Tauran","Je T'aime","Cloud 9 Digital",31,35,18,"398502"
61,"spotify:track:1B7xiLBhKRBpD5KlnEWtrR","Cameron Whitcomb","Medusa","Atlantic Records",57,59,10,"386321"
62,"spotify:track:7hR22TOX3RorxJPcsz5Wbo","Morgan Wallen","Love Somebody","Big Loud Records / Mercury Records / Republic Records",32,55,16,"374923"
63,"spotify:track:1BJJbSX6muJVF2AK7uH1x4","Adam Port, Stryv, Keinemusik, Orso, Malachiii","Move","Keinemusik",2,61,40,"374407"
64,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",52,54,9,"369143"
65,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",16,45,15,"366606"
66,"spotify:track:6HfzAzEWhwo19n2jrJnM7k","Bankzitters, Roxy Dekker","Huisfeestje","Warner Music Benelux",1,104,40,"353147"
67,"spotify:track:4vW57jBzQQ8Q9MwUibzmir","Frenna","PRETTY GIRLS","Top Notch Music BV",2,100,52,"350397"
