rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1XRpRDBpJPjjcj406euOpa","Roxy Dekker","Ga Dan!","Warner Music Benelux",1,-1,1,"2460663"
2,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",1,2,23,"1367257"
3,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",3,3,14,"1259492"
4,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",1,1,14,"1259340"
5,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",4,4,7,"1088063"
6,"spotify:track:0vrKBjEBQAVn3sdhIXmpHE","Yves Berendse","Terug In De Tijd","Dino Music",1,5,36,"1032876"
7,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",7,21,2,"988184"
8,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",4,6,36,"905944"
9,"spotify:track:3HcIbVeDYLg8u2DiqM4zuT","Sven Versteeg, Likke Pêhp","Blikkendag","Dino Music",9,11,11,"902653"
10,"spotify:track:3nHuKdFJZm78CoeBnDcFKe","Teddy Swims","Bad Dreams","Warner Records",5,7,19,"849810"
11,"spotify:track:2VyvDGdcVY04cNYou9MFVX","PAWSA, The Adventures Of Stevie V","Dirty Cash (Money Talks)","Altra Moda Music",9,9,10,"840252"
12,"spotify:track:2QwAzwjpruvSZ83t7wlZVD","Martin Morero","Spijt Is Voor Later","Dino Music",3,8,6,"827131"
13,"spotify:track:2K7HqkHEUfz7c4BzEO33Qd","Yves Berendse, Emma Heesters","Alleen Met Jou","Dino Music",7,12,17,"790833"
14,"spotify:track:2usgKLp2V6HTqOXh9rlETr","Kevin, Idaly","SOS","Animal Stories / Noah’s Ark BV",9,10,7,"742217"
15,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",4,13,22,"723330"
16,"spotify:track:1nzVNvN2bLkN8AMjfTxvTT","Suzan & Freek","Ken Je Dat Gevoel","Sony Music Entertainment",16,18,2,"664677"
17,"spotify:track:5v9RI8UmSTgDSsZ8cKENc5","Joshua Robbie, Lange Frans","I Surrender - Remix","One Seven Music",14,14,4,"654519"
18,"spotify:track:4xTjO1NgHBEbINFUQ9Kgao","Robert van Hemert","Zoet, Zout, Zuur","Cornelis Music",4,16,52,"625914"
19,"spotify:track:1b6G5YNi5akoOpwlqnulH8","Noano, Ronnie Flex","Damage","Universal Music, a division of Universal International Music BV",1,17,13,"623712"
20,"spotify:track:4t1h7BTPZFSHBQRz3MJ7sK","Yves Berendse","Vandaag Ben Ik Van Jou","Dino Music",20,-1,1,"621404"
21,"spotify:track:5o0osRx8kYJTOqlOSggr9Z","Alex Warren","Carry You Home","Atlantic Records",12,15,34,"603731"
22,"spotify:track:73epTVTwGh2rSnMkrKmgJS","KM, Idaly","Nu Meteen (Slide)","Top Notch Music BV",22,-1,1,"582052"
23,"spotify:track:02nm2yGw7BygWmRcbFhAlC","Roxy Dekker, Ronnie Flex","Gaan We Weg?","Warner Music Benelux",1,45,28,"559497"
24,"spotify:track:4MSj19TwYBLgDFj3ddEeco","Lost Frequencies, Tom Odell","Black Friday (pretty like the sun)","UROK",5,19,27,"559376"
25,"spotify:track:5G2f63n7IPVPPjfNIGih7Q","Sabrina Carpenter","Taste","Island Records",5,20,22,"552348"
26,"spotify:track:7GWU6dQFjYF5YpsAUwZfGq","Racoon","Oceaan","Sony Music Entertainment",25,25,347,"550648"
27,"spotify:track:1sqe31TzOsjCeex1INgmsq","Donnie, Marco Schuitmaker","Hier Mag Alles","8ball Music / Maradonnie / Dino Music",4,22,61,"547664"
28,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",28,43,2,"544334"
29,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",3,23,75,"538983"
