rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4x7j9ed3FRH6CHj27kiTQ3","Oimara","Wackelkontakt","stereopolrecords / ZEITGEIST for Virgin Records",1,2,7,"6999351"
2,"spotify:track:6j8OrKDQHxXakjA7KKbWzj","Zartmann","tau mich auf","Bamboo Artists/Epic",1,3,5,"5102683"
3,"spotify:track:36w8f4Cl7JqTbFDamAdq8Q","AYLIVA","Wie?","Whiteheart Records/Warner Music Central Europe",1,1,2,"3917895"
4,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,6,20,"2697638"
5,"spotify:track:3FjK86616FbluOfTxNK2gY","Sleepy Hallow, Doechii","ANXIETY (feat. Doechii)","Winners Circle/RCA Records",5,108,2,"2436860"
6,"spotify:track:2qX5NeJHw3LGR2cNoY8qbK","YAKARY","me & you","Life is Pain",6,-1,1,"2329963"
7,"spotify:track:6yT1Qf1EKbUfiROeOWtzeN","Bausa, Jazeek","Wenn der Himmel weint","A Million Music/WM Germany",4,4,2,"2241458"
8,"spotify:track:3COS5kuid5EKAfN2klE84V","Sosa La M","Northside","GOLD LEAGUE",5,5,2,"2107487"
9,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",3,8,29,"1869687"
10,"spotify:track:7AAcQMV6Uw3YXt9TTx4b6r","Querbeat","Nie mehr Fastelovend","Rhingtön",10,30,11,"1724127"
11,"spotify:track:1EDPVGbyPKJPeGqATwXZvN","Linkin Park","The Emptiness Machine","Warner Records",1,12,26,"1664030"
12,"spotify:track:61lNxSCj38lvmZjJZuhXSt","reezy","SABÍA QUE NO","Four Music/Teenager Forever",1,10,8,"1640753"
13,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",3,9,28,"1582423"
14,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",2,11,20,"1578544"
15,"spotify:track:2ccrHH7JIwIF8V8kaQ1jw4","Oimara, HBz, Luca-Dante Spadafora","Wackelkontakt - HBz x Luca-Dante Spadafora Remix","stereopolrecords / ZEITGEIST for Virgin Records",15,81,2,"1530148"
16,"spotify:track:4kbkYbhWNiSJraySknB4hD","Abor & Tynna","Baller","Jive",16,-1,1,"1477586"
17,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",17,25,4,"1468133"
18,"spotify:track:6qqrTXSdwiJaq8SO0X2lSe","Alex Warren","Ordinary","Atlantic Records",18,18,4,"1456923"
19,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",5,13,5,"1413568"
20,"spotify:track:5oZhVe2siY0lta6THxawAR","LACAZETTE, JR.","PPP","LACAZETTE",20,-1,1,"1386991"
21,"spotify:track:3VIEbpdr64a1mNSa8MqBAm","Fäaschtbänkler","ALL IN (Lieblingslieder)","Rosenklang",21,64,7,"1370511"
22,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",9,16,13,"1362979"
23,"spotify:track:05ayHD9SFkfqhVUOUxBOyv","Tream, Mia Julia","HERZBLATT (AUA AUA)","3AM MUSIC",9,21,7,"1349179"
24,"spotify:track:18o2gKM9pMyEWWAT9ZaGvr","ZAH1DE","Mona Lisa Motion","Ventura Records",22,22,2,"1314793"
25,"spotify:track:1v1cijv1qjMJ5o9OvMWACS","Nina Chuba","Fata Morgana","Jive",3,19,17,"1280374"
26,"spotify:track:6WpRQIRWVfmaS6gr22Zxh0","Der Heimer, Symba, SDP","Angels Sippen Mashup","Der Heimer",14,14,3,"1273460"
27,"spotify:track:7Ifj0WCBgX5uisabg3GkDm","Querbeat","Guten Morgen Barbarossaplatz","Rhingtön",27,93,5,"1267452"
28,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",7,20,42,"1236151"
29,"spotify:track:4b3W0IbHDwHCvjSs708Tr4","AYLIVA, Apache 207","Wunder","Whiteheart Records/WM Germany",1,27,45,"1210280"
30,"spotify:track:1cXo8i9dgutdqjhjz3Zwqq","Zartmann, Drumla, Dauner","eehhhyyy","Bamboo Artists/Epic",13,28,35,"1181054"
31,"spotify:track:559mLg44MrcA7JzYGbpXfL","MilleniumKid, JBS","Vielleicht Vielleicht","Warner Music Central Europe",31,51,60,"1169759"
32,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",21,23,10,"1169701"
33,"spotify:track:2O8k1wqMQ0HlfYUO8c4HQR","Kane","Frieden","Four Music/Bipolar Berlin",33,-1,1,"1162277"
34,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",7,17,25,"1106895"
35,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",6,24,23,"1074752"
36,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,32,59,"1070002"
37,"spotify:track:3DQ4U7YOBorXDyaGraMBE7","Brings","Kölsche Jung - Party Edit","Electrola",37,85,10,"1064412"
38,"spotify:track:1XhEwA9KL44MtKNfHEc2NJ","Eno, Dardan, Daniel Slump","WER MACHT PARA 3","Warner Music Central Europe",7,7,2,"1058334"
