rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:36w8f4Cl7JqTbFDamAdq8Q","AYLIVA","Wie?","Whiteheart Records/Warner Music Central Europe",1,-1,1,"5690954"
2,"spotify:track:4x7j9ed3FRH6CHj27kiTQ3","Oimara","Wackelkontakt","stereopolrecords / ZEITGEIST for Virgin Records",2,2,6,"5640595"
3,"spotify:track:6j8OrKDQHxXakjA7KKbWzj","Zartmann","tau mich auf","Bamboo Artists/Epic",1,1,4,"5402336"
4,"spotify:track:6yT1Qf1EKbUfiROeOWtzeN","Bausa, Jazeek","Wenn der Himmel weint","A Million Music/WM Germany",4,-1,1,"4555703"
5,"spotify:track:3COS5kuid5EKAfN2klE84V","Sosa La M","Northside","GOLD LEAGUE",5,-1,1,"3267950"
6,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,4,19,"2831071"
7,"spotify:track:1XhEwA9KL44MtKNfHEc2NJ","Eno, Dardan, Daniel Slump","WER MACHT PARA 3","Warner Music Central Europe",7,-1,1,"2237390"
8,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",3,5,28,"2102729"
9,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",3,3,27,"2066612"
10,"spotify:track:61lNxSCj38lvmZjJZuhXSt","reezy","SABÍA QUE NO","Four Music/Teenager Forever",1,6,7,"1905243"
11,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",2,8,19,"1793204"
12,"spotify:track:1EDPVGbyPKJPeGqATwXZvN","Linkin Park","The Emptiness Machine","Warner Records",1,9,25,"1777547"
13,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",5,10,4,"1576788"
14,"spotify:track:7CwJ8o9FdExCbIuLCnsHK8","Der Heimer, Symba, SDP","Angels Sippen Mashup","Der Heimer",14,40,2,"1533669"
15,"spotify:track:4eIdT2bW2gaTDdJnMgt7Ue","Amo","Dunya","Epic/385i",15,-1,1,"1510779"
16,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",9,11,12,"1490805"
17,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",7,7,24,"1437794"
18,"spotify:track:6qqrTXSdwiJaq8SO0X2lSe","Alex Warren","Ordinary","Atlantic Records",18,20,3,"1410435"
19,"spotify:track:1v1cijv1qjMJ5o9OvMWACS","Nina Chuba","Fata Morgana","Jive",3,15,16,"1380069"
20,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",7,12,41,"1365936"
