rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6j8OrKDQHxXakjA7KKbWzj","Zartmann","tau mich auf","Bamboo Artists/Epic",1,1,3,"4826428"
2,"spotify:track:4x7j9ed3FRH6CHj27kiTQ3","Oimara","Wackelkontakt","stereopolrecords / ZEITGEIST for Virgin Records",2,2,5,"4778473"
3,"spotify:track:6AI3ezQ4o3HUoP6Dhudph3","Kendrick Lamar","Not Like Us","Kendrick Lamar, under exclusive license to Interscope Records",3,4,26,"2873191"
4,"spotify:track:4wJ5Qq0jBN4ajy7ouZIV1c","ROSÉ, Bruno Mars","APT.","Atlantic Records",1,3,18,"2801211"
5,"spotify:track:2plbrEY59IikOBgBGLjaoe","Lady Gaga, Bruno Mars","Die With A Smile","Interscope",3,7,27,"2248462"
6,"spotify:track:61lNxSCj38lvmZjJZuhXSt","reezy","SABÍA QUE NO","Four Music/Teenager Forever",1,6,6,"2025670"
7,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA)","Black Panther (TDE/DMG) PS",7,21,23,"1931593"
8,"spotify:track:7ne4VBA60CxGM75vw0EYad","Gracie Abrams","That’s So True","Gracie Abrams, under exclusive license to Interscope Records",2,8,18,"1818468"
9,"spotify:track:1EDPVGbyPKJPeGqATwXZvN","Linkin Park","The Emptiness Machine","Warner Records",1,9,24,"1806487"
10,"spotify:track:5ZLUm9eab8y3tqQ1OhQSHI","Lady Gaga","Abracadabra","Interscope Records",5,5,3,"1683545"
11,"spotify:track:35ISBknsCeZQtq66xABI9g","Lola Young","Messy","Universal-Island Records Ltd.",9,12,11,"1549633"
12,"spotify:track:6dOtVTDdiauQNBQEDOtlAB","Billie Eilish","BIRDS OF A FEATHER","Darkroom/Interscope Records",7,11,40,"1491818"
13,"spotify:track:2sbg1omBXnFOeHvbWyR1Vv","SHABAB, Lune","Delale","Urban",13,-1,1,"1448436"
14,"spotify:track:3PJV152pMXWdlQgUrBoe91","reezy","SKELLY","Four Music/Teenager Forever",14,-1,1,"1420075"
15,"spotify:track:1v1cijv1qjMJ5o9OvMWACS","Nina Chuba","Fata Morgana","Jive",3,15,15,"1397359"
16,"spotify:track:0aB0v4027ukVziUGwVGYpG","Kendrick Lamar, Lefty Gunplay","tv off (feat. lefty gunplay)","pgLang, under exclusive license to Interscope Records",16,30,11,"1321296"
17,"spotify:track:0FIDCNYYjNvPVimz5icugS","The Weeknd, Playboi Carti","Timeless (feat Playboi Carti)","XO / Republic Records",6,13,21,"1307721"
18,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",18,33,9,"1306321"
19,"spotify:track:25gf5FE6U8T47umJTW8GJS","YAKARY","GEGENGIFT","Life is Pain",19,-1,1,"1292702"
20,"spotify:track:6qqrTXSdwiJaq8SO0X2lSe","Alex Warren","Ordinary","Atlantic Records",20,31,2,"1274745"
21,"spotify:track:2FAZskT9yRjp2Oow9szJD8","Chrystal, NOTION","The Days - NOTION Remix","Polydor Records",21,23,8,"1246444"
22,"spotify:track:26rTaeKpaLCsa8xZ1yd9Up","FiNCH","WENN DU DUMM BiST","Walk This Way Records",8,18,4,"1238551"
23,"spotify:track:1d4VELKuRjmSWWXSssqLjL","Jazeek","LV","NINETYNINE MUSIC x Good Kid Records x Ventura Records",10,10,2,"1238134"
24,"spotify:track:4495xO2HkmqoYIxQO2FvAH","Jazeek","Ma Baby","NINETYNINE MUSIC x Good Kid Records x Ventura Records",1,19,15,"1209777"
25,"spotify:track:2262bWmqomIaJXwCRHr13j","Gigi Perez","Sailor Song","Gigi Perez PS/ Island",8,25,24,"1173033"
26,"spotify:track:05ayHD9SFkfqhVUOUxBOyv","Tream, Mia Julia","HERZBLATT (AUA AUA)","3AM MUSIC",9,20,5,"1169108"
27,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",1,24,57,"1168490"
28,"spotify:track:0JtDPZDAIEIZbE1y7aSjTB","badchieff","EIN TEIL VON MIR","Four Music/Two Sides",14,17,3,"1124087"
29,"spotify:track:5WGctLC3bvTwld9YdVG99n","Shirin David","iconic","Juicy Money Records",29,-1,1,"1107703"
30,"spotify:track:3sK8wGT43QFpWrvNQsrQya","Bad Bunny","DtMF","Rimas Entertainment LLC.",8,26,6,"1087301"
31,"spotify:track:2FGKofI4AJN91ofBNDmWWB","Wale, Sam Dew","LoveHate Thing (feat. Sam Dew)","MMG/Atlantic",31,36,3,"1075208"
32,"spotify:track:1cXo8i9dgutdqjhjz3Zwqq","Zartmann, Drumla, Dauner","eehhhyyy","Bamboo Artists/Epic",13,40,33,"1061823"
33,"spotify:track:2zsb697TLzjzMcRyhmuHt4","LACAZETTE","MNG","LACAZETTE",4,16,4,"1060784"
34,"spotify:track:4b3W0IbHDwHCvjSs708Tr4","AYLIVA, Apache 207","Wunder","Whiteheart Records/WM Germany",1,38,43,"1023369"
35,"spotify:track:3QaPy1KgI7nu9FJEQUgn6h","Billie Eilish","WILDFLOWER","Darkroom/Interscope Records",24,29,38,"1013010"
36,"spotify:track:3BntzKsnLf2pc0dsvE3Zav","Teddy Swims","Bad Dreams","Warner Records",24,43,16,"1002644"
37,"spotify:track:5nPbKG04fhLkIAjcPFaZq7","HUGEL, Topic, Arash, Daecolm","I Adore You (feat. Daecolm)","Virgin",18,42,31,"965919"
38,"spotify:track:0f6pPvxwkvBFaIpfhAQHgt","Helene Fischer, Florian Silbereisen","Schau mal herein","Polydor",38,67,2,"948629"
39,"spotify:track:6leQi7NakJQS1vHRtZsroe","Pashanim","Mittelmeer","Urban",1,48,39,"946403"
40,"spotify:track:6WpRQIRWVfmaS6gr22Zxh0","Der Heimer, Symba, SDP","Angels Sippen Mashup","Der Heimer",40,-1,1,"934166"
41,"spotify:track:7bkUa9kDFGxgCC7d36dzFI","Berq","Rote Flaggen","Urban",3,44,34,"931266"
42,"spotify:track:2A1aS3mwuGuX2yk1bgxOvA","BL3SS, CamrinWatsin, bbyclose","Kisses (feat. bbyclose)","Atlantic Records UK",22,41,28,"915234"
43,"spotify:track:7DY756WOLyOz2Xnhw4EFiC","The Weeknd, Anitta","São Paulo (feat. Anitta)","XO / Republic Records",11,32,15,"913162"
44,"spotify:track:13QjwdjKiFrKzYznJu6iiP","Shirin David","bauch beine po","Juicy Money Records",1,66,30,"898952"
45,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",9,50,45,"894226"
46,"spotify:track:4hYinIaRxdaoEFSQni6K6I","Wir sind Helden","Nur ein Wort","Virgin",39,57,6,"893930"
47,"spotify:track:6mVGbuQTbXeJz79VBG6hrm","Shirin David, Ski Aggu","atzen & barbies (feat. ski aggu)","Juicy Money Records",3,47,6,"891633"
48,"spotify:track:0qbXfkzgbHzddl2bQ3unj3","Shirin David","fsk16","Juicy Money Records",48,-1,1,"883891"
49,"spotify:track:559mLg44MrcA7JzYGbpXfL","MilleniumKid, JBS","Vielleicht Vielleicht","Warner Music Central Europe",41,64,58,"868304"
50,"spotify:track:5EcG8eMMlwkHRVa4aTR1qd","Rihanna","Breakin' Dishes","Def Jam Recordings",31,51,9,"835476"
51,"spotify:track:5ITV0zqzjOYfFWpW0xBmRa","WizTheMc, bees & honey","Show Me Love","Bamboo Artists",51,70,2,"827177"
52,"spotify:track:6393yGahSJ9slVdOwSxOVR","Chappell Roan","Pink Pony Club","Chappell Roan PS/ Island",52,56,2,"819675"
53,"spotify:track:13h9b9QExiGVYsAYDxpBHg","Mali, CANEY030, Eno, HoodBlaq","STEMPEL CC","Columbia/BE.ELA.QU GmbH",14,14,2,"813592"
54,"spotify:track:3VIEbpdr64a1mNSa8MqBAm","Fäaschtbänkler","ALL IN (Lieblingslieder)","Rosenklang",54,102,5,"811380"
55,"spotify:track:5Wjgn3FxjQ9hSuS0gjnLqM","Jazeek","C ME NOW","NINETYNINE MUSIC x Good Kid Records x Ventura Records",28,28,2,"798098"
56,"spotify:track:22skzmqfdWrjJylampe0kt","Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton","Can't Hold Us (feat. Ray Dalton)","Macklemore",43,69,225,"794664"
57,"spotify:track:0uSHA5dbsCRMmzbidwhKwl","Sosa La M, Luciano","Butcher","GOLD LEAGUE",4,65,11,"793327"
58,"spotify:track:2nLtzopw4rPReszdYBJU6h","Linkin Park","Numb","Warner Records",13,53,121,"791040"
59,"spotify:track:0Mvc2FRCYnVjMTd4jx4DMq","Zartmann, Ski Aggu, Dauner","wie du manchmal fehlst","Bamboo Artists/Epic",5,76,38,"787566"
60,"spotify:track:2obyurbKlHom1FtwfRGbEG","MADE, Dinaro, Asya, Kubik","Hoch","MADE Entertainment",60,-1,1,"786424"
61,"spotify:track:3wPPWcVuinAU7dXcJXtCID","Naughty Boy, Sam Smith","La La La","Virgin Records Ltd",15,49,9,"785109"
62,"spotify:track:77p59nG1oU5pzd20rPxBwC","Jazeek, Luciano, Miksu / Macloud","PLAYBOYBUNNIES","NINETYNINE MUSIC x Good Kid Records x Ventura Records",3,60,20,"784652"
63,"spotify:track:0WbMK4wrZ1wFSty9F7FCgu","Chappell Roan","Good Luck, Babe!","Chappell Roan PS/ Island",28,46,35,"775505"
64,"spotify:track:3hRV0jL3vUpRrcy398teAU","Lord Huron","The Night We Met","Play It Again Sam",49,59,91,"773360"
65,"spotify:track:7KXjTSCq5nL1LoYtL7XAwS","Kendrick Lamar","HUMBLE.","Aftermath",11,106,52,"770555"
66,"spotify:track:7yNQ5oPcuCC4wTqTcMRIrE","Ely Oaks","Running Around","Robots & Humans",66,111,2,"767828"
67,"spotify:track:0nj9Bq5sHDiTxSHunhgkFb","Kendrick Lamar","squabble up","pgLang, under exclusive license to Interscope Records",40,71,4,"767135"
68,"spotify:track:3AWDeHLc88XogCaCnZQLVI","The Weeknd","Cry For Me","XO / Republic Records",20,35,3,"764633"
69,"spotify:track:003vvx7Niy0yvhvHt4a68B","The Killers","Mr. Brightside","Island Records",26,72,87,"762486"
70,"spotify:track:0fvFSGvEAPDDMfweKvDJVa","Apache 207, Luciano","Gesegnet","Four Music/Feder Musik",1,45,5,"755198"
71,"spotify:track:2FiJGvN3fiXMwms9IftNV0","FiNCH, Tream","LiEBE AUF DER RÜCKBANK","Walk This Way Records",17,75,89,"746253"
72,"spotify:track:5RKQ5NdjSh2QzD4MaunT91","Journey","Don't Stop Believin' (2022 Remaster)","Columbia/Legacy",28,58,105,"743764"
73,"spotify:track:3U5JVgI2x4rDyHGObzJfNf","Natasha Bedingfield","Unwritten","Sony Music CG",2,84,58,"737643"
74,"spotify:track:3JG1uFc40wfyrqaWC7iv0e","Artemas","i like the way you kiss me","Artemas",1,77,49,"733192"
75,"spotify:track:17phhZDn6oGtzMe56NuWvj","Teddy Swims","Lose Control","Warner Records",9,80,59,"727327"
76,"spotify:track:0UxZxHRy869KLICYYLflAT","LACAZETTE","20S","LACAZETTE",22,22,2,"720824"
77,"spotify:track:4QveIIDRvuV7aKGOqDAbuP","ZAH1DE","Ballert auf Lautlos","Ventura Records",77,105,4,"713887"
78,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",33,73,216,"709797"
79,"spotify:track:2HBBM75Xv3o2Mqdyh1NcM0","Linkin Park","Heavy Is the Crown","Warner Records",3,81,22,"703611"
80,"spotify:track:2E53s8cIrRuty1aZdAUqvQ","Apache 207, Luciano","Cold as Ice","Four Music/Feder Musik",4,61,5,"699944"
81,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,91,207,"698070"
82,"spotify:track:09CnYHiZ5jGT1wr1TXJ9Zt","Dimitri Vegas & Like Mike, Tiësto, Dido, W&W, Dimitri Vegas, Like Mike","Thank You (Not So Bad)","Ministry of Sound Recordings",13,78,60,"698038"
83,"spotify:track:2zOmS55knKWSgScYPTNmGQ","Tate McRae","Sports car","RCA Records Label",27,63,4,"693908"
84,"spotify:track:31nfdEooLEq7dn3UMcIeB5","BENNETT","Vois sur ton chemin - Techno Mix","Warner Music Central Europe",1,82,81,"690825"
85,"spotify:track:4mVhmpRtHuzMFJlU3an4eG","makko, Miksu / Macloud","LICHTER AUS","Futura",12,39,3,"687719"
86,"spotify:track:0rtDE9zfXbamTlRUSwY7zy","Mark Ambor","Belong Together","Hundred Days Records, LLC",4,95,49,"685379"
87,"spotify:track:60a0Rd6pjrkxjPbaKzXjfq","Linkin Park","In the End","Warner Records",15,93,306,"685028"
88,"spotify:track:3ilgxZl5g7MOQCUiky3VOG","Pashanim","Ms. Jackson","Urban",1,86,78,"684146"
89,"spotify:track:4nV2TbyTbGljX58MKwPxvm","LACAZETTE","LID","LACAZETTE",2,79,21,"681568"
90,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",48,90,16,"671131"
